author,content
虎山行不行,你看看你看看评论果然一边倒说女方不懂事了吧这就是咱们在接受信息的时候往往受到叙事者视角的影响把自己代入叙事者角色然后就被主观主义构陷了你不信咱把题目换成女方视角我男朋友陪我时间越来越少态度冷淡到家喊累倒头就睡问他就是为了我们的未来奋斗呢他会不会是在骗我信不信评论里马上就是渣男拿你当傻子忽悠肯定是外边有人了麻烦编个好点的理由吧骗鬼呐他这因为我们这个情况下先入为主的把自己代入女方视角结论就走向了反面这个就是帮亲不帮理的根本原因并不是说咱都是不讲理的人而是亲的话总能最先让你听见于是我们自然而然的站在亲的视角去审视问题了也许把事实扒开看就题主这小事题主还真就是每天为了未来赌命呢他女朋友也真就是随着陪伴时间减少安全感木有了俩人都没错俩人都很冤但俩人说出来不明真相的吃瓜群众都会代入角色然后俩人都得被吐一身西瓜子跟你说说这事换了我怎么处理我一向固执的认为所有靠感情维系起来的关系假如你暂时给不了感情就给其它的能表征感情的东西这就好像古战场士兵加官进爵看杀敌数量但我不能杀了以后把死人都抬皇上龙椅前边让他点数吧多不吉利啊我也没那么大力气抬啊我又不是湘西赶尸的那就拎着首级或者割耳朵给自家将军看这个首级或者耳朵就是杀敌的表征物我在阶段性忙成狗的时候内些平时关系很好的朋友我顾不上因为我也得赚钱恰饭那我就在群里会给他们发红包钱金额大小不是最重要的重要的是用红包当内个杀敌割下来的耳朵告诉他们对不住老哥几个最近批事多陪你们唠嗑少啦请你们买瓶汽水喝吧当然了红包封面我不会这么写这成讨好型人格了一般我都是写父爱如山的我来慰问儿子们啦这样他们收的比较没心理负担我们还能对喷几句增进友情对于我觉得够得上朋友二字的人咱一向这么干对于女朋友这种角色稍微复杂一些但也没很难你说你为了未来努力工作冷落她了对吧但人家怎么知道你是为了你们俩的未来呢她也担心你未来真的运气好跟大佬们平起平坐了顺手换个十八线小明星当女朋友呢所以换了我如果我没二心认定未来就是她了直接把工资卡给她我是真干得出来但是我会说清楚这钱给你可不是让你拿咱俩首付趁着我没工夫跟你玩你去包几个小哥哥玩耍的做人不能太潘金莲啊我是让你掌握财政大权安心再有就是看着我这么忙收入也确实在涨咱没骗你这样一来搁在谁都比以前放心了如果说你们俩关系还没到这个程度你觉得钱给她搞不好第二天就都去商城买盲盒了那就起码做到公示每个月你入的和你出的账俩人对清楚当然她最好也这么干婚姻投名状必须是双方互相交才稳再退一步如果你觉得我总拿钱说事太三俗那成你跟她谈高雅的谈梦想实现的了的近景梦想比如你们准备买车你告诉她按照你以前工作态度一般得一年把车钱赚出来按照现在这个节奏工作一个季度就能让她当上老司机请女施主等一个季度正常人都等得起也就不会怪你了千万别开口就把梦想插几十年以后说你等着吧你五十岁生日时候我送你一加州海滩大别野自带海洋馆内种这么说话的都是诈骗犯总之靠感情维系的关系你交了经济大权等于交了忠诚交了账单等于交了生活轨迹交了小梦想等于交了近期在努力的理由什么都交不出来的话你得想想最近的努力是不是值得了你该怼的不是你对象而是鼓励你当奋斗逼的内个人他也许在白嫖你劳动力的同时也白嫖了你对象的心情俩人的世界永远会有第三者乱入第三者未必是人也许是工作学习或者其它什么狗屁事当第三者能给你们带来回报的时候把回报呈现给对象看必能打消疑虑没回报则别管第三者是人是物是事它性质都是小三无疑早醒早超生男女都一样
壹夏,你努力挣钱是为了你自己的未来请问你的成功和你女朋友有多大关系呢毕竟女朋友是可以换的再者努力工作和照顾女朋友的情绪是矛盾的吗如果是的话建议不要谈恋爱了
战斗力旺盛的伯爵,为了你们的共同将来努力工作嘻嘻你骗谁呢工资上交了吗赚来的钱有多少是在她的支配之下给她买了多少东西房子写她的名字了吗车子写她的名字了吗你升职之后能拉她一把吗什么都没有那你明明是为了自己的将来工作扯上她干什么没有这个女朋友你就不工作不奋斗了而且还是女朋友阶段分手了连个共同财产都没得分还好意思说是为了你们的将来工作我们假设五年之后你们分手了你说谁更亏你亏吗好像一点也不亏你女朋友分手既带不走你的财产也带不走你的职场资历这五年大概率你女友还要做更多家务她呢如果是小城市偏保守的地方那真的亏大了按照今天有一些喜欢男人嘲讽大龄剩女讽刺非处同居女性的这个现状你的女友因为和你待了五年就会因此在今后的婚恋市场遭遇到这些冷眼所以明明是她在牺牲自己的青春陪你奋斗你怎么好意思说你为了你们的将来奋斗呢所以我真心建议女生们要掌控自己的青春靠自己去奋斗提升自己的社会价值千万不要相信任何男性什么陪我奋斗这套鬼话给他当免费保姆然后他把你的价值榨干之后再去找别人
咨询师裕悦,女你每天下班回来都不愿跟我说话我们之间已经无话可说了吗男我一天辛辛苦苦为了我们的将来打拼我容易吗好不容易回家就想安静呆会你就不能理解我吗女少来这套你辛苦打拼不也是为了你自己吗你就不能回家陪我说说话说话很累吗会累死吗当我是空气吗男无理取闹女是不是有其他女人了男老子真服了你随球你爱咋咋地女呜呜呜我就知道男人没有一个好东西以上片段说明什么男女思维不同男人情感上偏理性他们觉得感情稳定后不需要像刚追求女人那样再刻意讨女人欢心他们累了就想安静呆会不是说就不爱女人了女人情感上偏感性不轻易爱一旦爱上就希望朝夕相伴随时交流如果男人不说话冷个脸女人就会猜疑怎么办真诚沟通互相理解真正的爱需要双方遇到问题换位思考理解包容对方然后定下彼此都能接受的行为规则
宁输输,他叫任抒野任意的任抒发的抒狂野的野在他很小的时候他的爸爸经常需要出差个把月才回家一次阿野每次看到他回家都有一种陌生感每次爸爸喊他过来他都怯生生的不敢过去躲在房间里不敢出来后来他爸爸想了一个好办法他知道阿野喜欢奥特曼于是回家进门后对阿野搞怪故意张牙舞爪说吼吼吼我是大怪兽我要毁灭地球啦奥特曼在哪里阿野这时就会从房间里出来然后他爸爸见到他出来就会蹲下然后把手臂一张我看看奥特曼能不能撞倒我然后阿野就会卯足了力气数个然后用力冲了过去和爸爸撞个满怀许久不见的隔阂就消失不少阿野在怀里问爸爸爸爸你怎么总是出差啊他爸爸刮了一下他的鼻子笑着说因为爸爸要赚钱啊不然谁来养你这只小馋猫啊然后两个人嘻嘻哈哈的闹做一团直到阿野的妈妈喊他们吃饭在外打工四处奔波的人成千上万他们已经很不容易了很多时候我们都在为生活而选择放弃一部分的便利这不是谁对谁错的问题而是不必把和所爱的人联系当做是一种负担就算不工作了也会产生新的问题贫贱夫妻百事哀这个词已经道尽了心酸说不定到时候会有新的矛盾哪有不工作赚钱了就没有矛盾了这样的好事所以换一种心态和对待生活的方式反而可以去除工作带给我们的疲惫也让对方觉得你重视他她彼此也会成为坚持的动力但是如果工作太忙严重影响生活那也需要考虑怎么安排工作需不需要换工作尽量分配好工作和生活的比例祝题主早日解决烦恼
冯不悔,你天天加班努力工作累死累活又不见你能赚百八十万一问工资这才是本质的问题你女朋友要到是你的态度这个你自己衡量月薪三千再家里打游戏就是不务正业月薪三万再家里打游戏就是顾家不浪一事无成的温柔最廉价了遇到良人先成家遇贵人先立业遇到富婆成家又立业
山一样的意志,正常啊她被你保护的太好了你和她过不去就是跟你自己过不去记住你两是一体的爱情的经营它不是一个零和博弈争吵也好冷战也好试探也好都是为了确认对方还爱我我们的爱不会消失这个终极目的你犯得最大一个错误就是你只想去证明她是错的而不是去证明你们两是相爱的你没有说你女朋友是干什么的但看你女朋友的反应这个哄我适用的情景是什么是她上了一天班累坏了要你哄还是打了一下午游戏输了要你哄你没说明白我不太懂你两的矛盾是什么你这个给的情况太少了这样吧我帮你补充几种细节你对号入座看看有啥可以参考的今年工作不好找就业岗位少应届大学生多如牛毛大家工作都是混口饭吃存不到几个钱所以你说的为了未来努力工作实在是太笼统了你是什么薪资水平过万了吗还是五千月光族你说是和女朋友的将来但看你两位这不怎么步调一致的态度想必更多的是你想给女朋友的将来吧这说明你们缺乏必要的沟通缺乏牵着手走过一生的勇气每天都很累这是你的个人情绪实际上人和人之间的悲喜互不相通她躺在床上打了一下午的手游看到你风尘仆仆一身臭汗的回来只会嫌你又臭又脏更有甚者让你洗完澡才配和她说话你两这态度应该是那种恋爱了几个月过了热恋期想要更进一步缺乏动力想要维持现状又缺乏必要的激情不断产生的矛盾和价值观事业观婚姻观的不符合又让你们对彼此的未来担忧这个时候你该考虑什么你不是考虑可有可无的关不关心问题如果你真的想继续这段感情你就得考虑唤醒你两内心的爱意你要让她找回当初爱你的感觉什么关心啊体贴啊给个笑脸啊都在其次都不重要就算她这么做了也是治标不治本根本问题忽略了做什么都是白搭你女朋友明显和你不在一个频道上啊你两没有对过标吗你女朋友摆明是不知道你的内心想法啊你两这也太缺乏交流了一个女生如果对你爱意寥寥比长辈还成熟比国企资本家还冷漠很明显你两的爱巢缺少爱的交流纠结一个点是没有意义的因为你只能证明她是错的她做的不对这是没有意义的你要让她明白你做这一切就是要告诉她你是因为爱她才这么做你不是责怪她迁怒她诘问她就草草了事她这次答应了下次还敢重点是你得把爱她的心情传递给她让她感受到你那份明晃晃的爱意兄弟你给的情况实在是太少了哥们我实在是挑不出可讲的点了再讲就是鸡蛋里挑骨头该骂就骂骂完了要让她明白你两的争吵不同于律师的辩论你两的争吵是出于对彼此的爱啊重点是爱不是对错爱情是没有对错的你跟她过不去就是和自己过不去望周知
斩魂,我觉得你错以下是我的理解单方面的付出和努力永远只会感动你自己你以为你是为了她为了你们的将来人家未必会领情真正爱你懂你理解你的人会看到你的付出你的努力会心疼你体贴你只会享受你的付出把你的付出当做理所当然索求无度却不懂得回报的人是白眼儿狼不值得但是你只考虑了你的想法你有想过对方要什么吗谈恋爱的时候不好好谈恋爱你一心只努力工作忽略对方的感受和需求那你谈恋爱干什么
玄袂临风,你最大的错误不是不哄女朋友而是和自己的女朋友讲道理
邓铂鋆,穷人家的男子找个老婆就是找相互扶助的队友有钱人不需要结婚不需要恋爱既想通过感情羁绊获得廉价的男女相互扶助与慰籍又不愿意投入精力满足女朋友对关爱的需要一门心思往上爬好处包括获得更多的男女关系议价权天下哪有这种好事
