author,content
满天星和蜗牛姑娘,晚上更新腾仔赢了看了赛卡点牛逼动作干净利落实至名归的还是那句话请尊重舞者假装有分割线不论去不去请粉丝和所有人不要内涵内定什么的阴谋论就算了吧不论发生什么情况请尊重每一位舞者他们在背后付出的努力是我们不知道的光从练舞到现在的这份努力和坚持就值得我们尊重不论走到哪个阶段都是堂堂正正的实力个人认为舞者不去的话应该在投复活票之前就说明自己一旦淘汰不会参加复活赛都把你投上去了你又说不参加感觉对辛苦给你投票的人不是很尊重也有一点点不尊重其他舞者仅仅是我个人看法毕竟以上人我没有投票也没有资格为替他们投票的人说什么但要是腾仔和黄潇说不参加了我能气到骂人节目快结束了请不要再生事端了不论再出什么幺蛾子请四家粉丝真的不要理了最起码我希望兴家小紫薯们不要管了该我们做的都做了剩下的要靠舞者自己了我们专注艺兴就好了以上为个人想法发言
艾米,我是腾仔粉丝有粉丝滤镜蛮心疼他的腾仔的票数一直还算不错的粉丝群里也有姐妹们经常督促投票的基本上从节目里腾仔淘汰了以后他就偶尔在空降的时候会给自己拉票然后还问我们这个规则到底是怎么回事真的是一个憨的有点可爱的哥后来马上开始看到来了才知道好多选手放弃了内心感慨还挺复杂的说实话第一反应是腾仔胜率更大了然后才有点失望也有点替他心酸吧感觉腾仔是为数不多发微博替自己拉票的人看得出来他是真的想要赢想要去决赛我们粉丝能做的也只是给他投出一个名额后面就只能靠他自己了他的好胜心在其他退赛选手的对比下显得更强烈了或者说他被内定显得更明显了即使腾仔奉献了精彩的即使他紧张的汗流浃背即使他的粉丝在现场疯狂替他加油弹幕里微博上也有无数阴谋论说腾仔是被内定的说有黑幕虽然对于退赛的选手我也没啥好谴责的不知道他们是有比赛有时间冲突还是单纯的觉得已经在这个节目尽力了但是我腾仔滔滔和很多来尽力的选手也像这种突然知道被复活也开开心心去参与的人希望腾仔能得到他想要的能走的更远像张艺兴队长说的一样上天给了腾仔一个机会而他抓住了
余星河,更新于黄潇还没有在第十一期被淘汰的时候支付宝复活就投给他的此次街舞选手里面最喜欢的还是他被淘汰实在是意难平每天在支付宝给他投票的最终进入复活赛无论潇老师是否可以成功复活都是我值得尊重的人也是他让我看到街舞和舞蹈的美给我一种古代魏晋时期文人的潇洒感他的每个作品都很出圈很多人觉得双非常好看但是我个人更加喜欢的阿里郎随想舒适自由的氛围感外出游玩的乐趣感对于黄潇和腾仔从决赛的赛制来说可能腾仔更加适合后面的而且腾仔在这一次街舞复活赛中的实力也不差是否可以成功突围看实力也要看一点运气昨天晚上就在刷复活名单看到肖杰放弃复活怎么说呢他被淘汰的时候我也是意难平的啊理解不了小哇老师为啥要淘汰他的他在挖哇酷宝战队一直都是占据位的角色镜头一直都很多人非常幽默给我一种他适合镜头知道观众想看到什么的感觉呈现出来效果也刚好是观众所以喜欢的但是他被淘汰了我还是难过一点对于他放弃复活我个人觉得是一个看起来很聪明的选择有点平安着陆的意味在但是对于我个人来说以后当初的那点意难平在他放弃复活赛以后就没有了的又刷到公孙无名老师也放弃复活我刚看这就是街舞的时候不是有一个称号就做南公孙北乔治公孙和乔治二个人有点我的思考在的首先纯碎的街舞水平我是看不懂的我能说的是在街舞舞台乔治应该是完全突破自我八佰给我的震撼真的非常大看的时候浑身起鸡皮疙瘩在舞台上留下来的作品每一个人都让印象深刻完全突破自己原有的刻板印象也让我对街舞有一个新的认识所以说乔治收获应该是非常大的未来可能突破限制接续发展的空间也会更大的更新于黄潇复活赛最终淘汰是在意料之中的事情毕竟不是他的强项他真的成功晋级了网友估计又是一篇说暗箱操作的内幕他去复活赛应该心里已经有定数的不由让我想起他和小朝的对决赛的淘汰的时候潇师傅说的是他已经准备中国风的决赛舞蹈最终很遗憾没有机会可以在舞台上呈现当时个人觉得潇老师可能也没有想到会在齐舞的强项上被淘汰留下点遗憾很多人都说潇老师编排的科技主体的是意境深远舞蹈编排非常高深这些但是面临的是现场观众不买账在街舞舞台上有次遇到这样情况分别是饕餮和这次再可能整体对于现场观众来说理解上和震撼上不是立即那么强烈需要一个时间消化反思这里就是存在一个问题就是舞蹈的曲高和寡阳春白雪和通俗易懂下里巴人之间的矛盾如何适度把握这度都是一个问题潇老师每次和乔治老师合作总有一个特色就是乔治老师用于炸场调动现场氛围吸引观众情绪和注意潇老师可以从事这些意境和深度的东西彼此搭配完成高雅和民俗的融合配合默契刚看了艺兴队长对他们的采访潇老师也说了自己的确是有考虑说继续之前的舞台呈现出中国风东西但是最后还是想做一个从来没有做过的科技主题突破一下自己的潇老师可能也想过继续跳国风的东西可能大家会喜欢在这个重要的时刻胜算会更大一点但是他尝试调整自己的心态真的很棒非常开心的借助街舞的舞台潇老师路会走的更远一些格局应该也会更高一点所以潇老师在微博上说的下一个地方见腾仔最后可以突围复活我还是为此感到高兴的月日就是街舞总决赛了最后拭目以待最后放一张我喜欢的潇老师的阿里郎随想结尾
笙箫离歌烬,更新看到最终复活赛名单和现场剧透图了酷宝组参赛是肖杰和苏恋雅之后的第三顺位的小明小明一直没发声表态而现在他直接出现在了复活赛的现场那小宝和梦迪到底在微博叭叭叭个啥哦轮到你们了么摊手谢邀首先尊重各位舞者的抉择但就一一发微博表示不参加复活赛这个操作而言个人认为应该早早就像大饼那样直截了当的表达我不会去参加复活赛大家不要把票浪费在我身上去投别人吧现在有趣的是什么是名额会顺延而顺位上的人也都表示不愿意参加这场复活赛说的就是哇挖酷宝组肖杰不参加名额顺延给苏恋雅苏恋雅也表示不去其实她不参加不难理解毕竟之前跨舞种融合那一场也看得出来这姑娘掰头着实不行精彩的来了小宝和梦迪表示我不去陪跑我弃权梦迪今儿个一大早还发了一篇微博嗯按照顺位小明还在你们二位的前面呢人家什么都还没说请问哪儿来的戏份其实顺位上的人大概也懵了不想或不愿意去参加有话可以好好说说没想过会顺到自己所以没准备任何东西也好说自己并不擅长掰头就不去献丑了也罢没必要像小宝那样把话说得那般阴阳怪气本来围脖就是很容易被的地方想黑你的人盯着你的围脖看呢一旦有歧义的发言都会被截图裱起来过度曲解更何况还是通过这个节目获得关注的选手现在好了什么明天你就知道复活的是谁了能不让人多想今天复活赛的名单都被打乱了最后无论是谁复活可能都会被扣上早就内定好了的帽子精彩度一定不会降低反而现在应该更期待吧排名第一的厉害选手都放弃参赛顺位上的人也表示不去最后出现在复活赛上的人除了原本名单上没有弃赛的雷晓暘电门黄潇腾仔还会出现哪些人在舞台上
野生小管Alvin,其实有了去年冯老板的前车之鉴节目组已经做出相应的调整了把复活赛放在决赛前四天办但现在又出了这么个状况只能说节目组这个投票复活的赛制设置本身是有问题的我能理解节目组设置观众投票复活环节目的是为了提高观众的参与度但是这个复活赛的设置本身对于被投回来的舞者是不公平的尤其在今年招惹了饭圈的情况下很多东西更扯不清楚了个人建议还是干脆点取消观众投毛巾复活直接把投票复活名额放到正赛里面复活起码公平公正舞者也心服口服各队长粉丝也不会搞那么多逼事
你好南山,既然可以退赛退赛就能让人理解我刚才看了一些朋友的回答说说我的想法吧首先是小宝微博的那张截图他说去了也是陪跑也比不过那些准备了半个多月的选手我觉得这件事看你要什么了吧第一季第二季都有很多精彩的作品和精彩的人留下了精彩的印象至少第一季最后我觉得谁赢都无所谓了韩宇拿冠军一点都不妨碍我疯狂迷恋田一德和杨文昊如果选手想要赢这个陪跑说的就很直白去了赢的几率几乎为零那如果选手就想回去努力一把呢你说人家陪跑冯老板凭借自己的技术回到了舞台带来了一个他们三人默契度很高的作品虽然标准上差了点但人回来了回来了就是实力的证明上一季冯老板信心满满却屡屡受挫后来他哭了他甚至都不明白为什么评委没有选他的但回来了那个冯老板带着一股冲劲和不服输的勇气回来了难道这样的人不值得敬佩么这一次无论谁回来都值得尊敬不要说救场人家正常顺位回来证明自己为什么要叫救场其次上一季和余衍林之间的感情大家有目共睹为了朋友退赛还回来帮跳我理解我支持我能感觉到他们之间真实的友情这一季肖杰退赛的原因除了自己受伤最大的可能就是因为好兄弟吧他们之间的感情在节目中也屡次能感受到多次信任的合作肖杰失利用家乡话说该你的就是你的晋级成功肖杰激动地做了个胜利的手势如果是这样我依然尊重理解支持最后上一期都能有人和不认识的人一起排舞打败另一组实力很强的对手还有什么不可能的呢时间紧任务重这一季的意外太多了多的我都可以相信复活回来的那个人也非常有可能争一个冠军上一季海哥说要想做一个纯的舞蹈他也用现场证明了自己的实力现在留下的几个舞者不说实力个人魅力这一点对于全场的把握都差着不少知道腾仔回来了期待他能有出色的表现
double,不怎么看就愈发尊重从淘汰后就努力备战的选手了腾仔黄潇电门雷晓阳面对每一个能展现自己的机会都全力以赴这或许就是街舞精神吧还有临时上阵的巴里斯小明表现得也都非常之好都让我很至于这个问题下还有诋毁黄潇的我不介意再重申一下黄潇淘汰后廖博说的话黄潇是第一个带领中国齐舞团队走出国门走向世界的这是你们不知道的这是你们应该知道的
匿名用户,微博看了一个图觉得挺有道理是这个意思也别盯着各个团队队长和粉丝了估计他们也懵这说明节目组节目搞得不够严谨正常不该出现这种状况他们应该早就和前几名打过招呼让他们提前准备作品了但是到现在这个情况显然是节目组约束不到舞者了他应该在节目开始签约的时候就约定好如果淘汰被复活了除非身体原因否则必须参加把这些写在合同里省的像现在一样和笑话似的
兔菲菲,说实话感官不好如果不想参加复活赛可以淘汰的时候就说明这点大饼老师做的比较好否则真的对不起辛辛苦苦投票的人
查克靠近,我看到小宝说准备总决赛时间太短去了陪跑也就理解了我猜想对于这些舞者来说他们本来就知道自己参加完节目之后的路也就是继续教课比赛之前看到前两季舞者直接就说过参加街舞就是为了提高课时费舞者和秀人不同就算得了第一第二还是属于素人之类也不会说会成为明星因为圈子不同他们在自己的圈子是拿比赛成绩说话的这街里虽然一定程度上能展现实力但并不是绝对的大部分舞者只是露了个脸没有机会展现真正的实力这街对于舞者来说也只是一段不一样的旅程对于舞者来说胜负无所谓所以何必为了一个最后没有结果的事在短短几天和人家有充分的时间准备的舞者呢没必要我觉得这街的舞者得失心都不是很重而且他们的行程都很忙上次看林梦的直播他已经忙到没有时间直播了好不容易抽出时间跟粉丝聊一聊不参加也不会影响他们的生活去年我每天投票的马晓龙最后也放弃了反而去帮队友帮跳我觉得也可以的我就是很喜欢他们这种很真实的态度
