author,content
smlie,不请自来笔者建议直接复读你初入大学可能不知道班委学生会有多重要这么和你说吧上大学就是为了在班上学校里任个一官半职这点达不到你出去都不好意思和别人说自己上过大学班委耶学生会干部你知道这两个位置有多神圣嘛班委是班级的代表行使着收发作业带头喊口号传达老师信息的伟大工作学生会干部就更不用说拥有着高校直接而广泛的权力你看校道上那一个个在阳光下挥洒着汗水手里提着一袋袋传单不分昼夜不知疲惫的帅气身影那都是高校的栋梁而你呢你啥也不是啥都干不了只能无聊的时候和家人聊聊天随便说点啥写完作业后也只能去图书馆看看课外书甚至能闲到一个人在网上学点编程啥的杂七杂八的东西最后呢班委干部一步一步向上爬大四了就能混出个样子来了而你呢抱着自己的奖学金和一堆证书哭去吧
赛博斯基,难受是肯定的谁在竞争中失败都会难受但关键是需要这种竞争吗举个不恰当但合理的类比你会因为在挖鼻孔大赛中失败没拿到名次而郁郁不得志吗从长远来看大一竞选班委学生会失败只能说有些同学在高中及以前的领导力要超过你但这说明不了什么等你工作了如果不是做管培生你会发现这些大学里锻炼的所谓领导力就是个寂寞现在就业市场这么紧张领导招你来是当个螺丝钉的不是让你来当领导的如果是以后做技术简历上任何学生活动都等于没有只看相关的实习经历和学历背景最多看看各种技术类比赛情况你沟通能力强领导力强对不起请去面试销售和市场部如果不想走技术路线想和人打交道请去合适的地方锻炼自己大学班委和学生会的乌烟瘴气已是人尽皆知知乎上随便一搜相关问题一刷好几页就在这种环境下锻炼啥领导力和沟通能力都是骗人的你为班委和学生会出的力只能成为思政的简历真的有心就去做一些小的创业项目市场调研义工活动乃至做家教开淘宝店维护公众号抖音营销号都是实打实的社会经验出了大学门都是社会人学生时代的那些东西社会上根本不吃那一套与其浪费时间在无休止的学生会的小心眼上不如早点接受社会的毒打这些都能加快你的成长如果你坚持你说的我都懂我就是想在学生会锻炼一下那就不需要介意这一时的失败前面说了有些同学天生领导力强或者初高中参加了很多比赛活动能言善辩所以大学一开始显得很外向很有才干但这种优势不是一世的如果你真的想锻炼自己有无数种方法可以帮助你口才不好就加入演讲协会胆子不够就去街上发发传单不会讲话就多看看书学学别人怎么讲话最终比较的对象是自己而不是别人并不是只有学生会或者班委才能锻炼人希望对你有帮助
梦入旧时,人在美国刚下飞机啊呸严肃点我来回答这个问题毕竟我今天刚竞选班长失败了难受啊怎么会不难受呢如果你不难受说明你压根没做准备没有期待过的事情即使失败也不会波动你的情绪其实我想当班长好久了我大一的时候还去竞选了新生负责人但也还是失败了今年大三了我心想班上这么多人排斥班干部这下应该没人跟我抢了吧我要挑就挑个大的反正我有的是时间呀但曾想理想多丰满现实就多骨感我大概两周以前就草拟了我的竞选稿压根就米有上网查啥该说啥不该说上面都是我零零碎碎的想法其实也不是什么好的竞选稿毕竟我失败了但是足以说明我准备得很充分我也挺期待自己能够当班长的但是不言而喻我既然回答了这个问题就说明我是个但是我现在已经把这份情绪消化了所以我写这个答案呢一来是想给大家提供个失败的竞选案例不要再犯我的错误惹二来呢是想见证自己的成长和锻炼写下来更好三来呢是想告诉大家如何吞下这份负面情绪第一失败的原因我是一个喜欢总结的人尤其是对于失败回顾了整个竞选画面我是第一个上台写下名字要竞选班委的我觉得我是自信的但是我也输在了这一点我的姿态可能过于高调我说既然是第一个竞选的我也来竞选个大头的其实是有点拉反感的人缘的建立我大一大二都在学院学生会当干部干事所以我在班集体中是一个比较严肃且透明的角色我喜欢默默地干自己的事不算很合群但是有知心的朋友对于男生我交往少之又少而与我竞选的那个女生相对而言和班上很多男生打成一片人际关系更好可以看到我的竞选稿我主要的描绘都是讲自己我说我的时间很充裕很闲且愿意把这份时间贡献给班集体我比较没有主见但潜台词也是更加民主愿意和各位班委共事解决问题我比较务实有目的性所以不会搞花里胡哨和表面的形式主义太多表现自己的成分了而且大部分都谈了自己的缺点我相信毛概说事物都有两面性所以我的缺点也可以说成是优点但我不想以那种漂亮的方式来陈诉我是真的不喜欢画大饼说漂亮话我在末尾说了我在这里也诚恳地说一句我无法给大家承诺当了班长全班没人会不及格或者向某某某曾经说得那样当了班长后班上每个人见面会打招呼这些我都无法左右因为大家是独立的个体但我唯一想说的是我愿意当那个冲在班级前面的人有人问班长是谁我会说是我有人说班级不好我会说是我的责任但是另外一个同学她说的很简洁她说我会在学院那里为班级争取到更大的权益怎么说呢有时候漂亮话是要说的虽然我也不知道我们班曾经有哪些权益是被侵犯了但是这句话就给人一种很有魄力而我反倒是自私自利小家子气了第二如何消除这份负面情绪我呢当时下来真的挺不好受的可能太过在意别人的看法吧我觉得挺扫皮和尴尬的毕竟是第一个还说了那么多现在想来真是自作聪明故弄玄虚了不要学我我的朋友都很好他们安慰我说当个自由人挺好的说没选我是没眼光我很感谢她他们当然呢伤心是在所难免的嘛不伤心才不对呢所以我哭了一场真的没忍住我太爱流泪了当然是没人的时候悄悄哭的垃圾桶里还有我的一堆纸呢不许笑后面去买了杯奶茶一个人在校园走了一圈我就觉得吧我难受也没用啊地球还是要转动明天起来我还是要去教室上课也没人会在意你落选这件事行人匆匆路过也没人会关心你的情绪如何在朋友面前尽量表现出自己没什么的姿态强忍住掉下来的青鼻涕直接用纸塞住然后点开了知乎搜索了竞选班长失败这个关键词默默开始想是不是可以写点什么第三我的成长通过班级竞选我也总结了以下几点大饼还是要画的要给人一种期待一种正向的力量而不是像我那样直接说我无法承诺我做不到太过务实保守也给人小家子气自私的感觉我第一个就站起来去竞选了在演讲的时候我说了我所有想要表达的言辞我没有颤抖我没有混乱我的逻辑还是很清晰说明我的准备很充分以后对待每件事都要这样给人淡定从容的感觉有人不敢站出来竞选而我做了虽然结果不如人意但是我是勇敢的尽管大三这次换届是本科最后一次了也就意味着我如果不考研我的学生生涯也没有当班长的机会了但是以后还会有更多竞选的机会有了这一次下次我仍然要勇敢地站出来我要当第一个吃螃蟹的人嘻嘻哈哈我发现把这些情绪写出来心里会好受很多呢所有的安排都是最好的安排就像我暑假本来打算进厂的结果很多厂不要临时工于是我回到老家在电脑面前开了网店也是一样地挣钱这次没有当上班长说明有其他选择值得我去尝试也有更多时间留给我学习和做喜欢的事情所以不能虚度光阴了等我好好学习考证回来惊艳你们这些没选我的人哼当然还收获了男友的关心我们之间也了解地更多吧算是而且我和他谈论这件事的过程也让我心绪平和了很多都有收货吧分享一波有点长啊明天又是元气满满的一天我爱学习我爱生活也希望我的回答能够帮助更多遭受竞选滑铁卢的朋友们呢所以点个赞呗俺需要鼓励和安慰快快快
是阿鑫i,我觉得的话就我个人经历而言都会过去的我们要做的事从中吸取自己失败的教训这是我的真实经历我大一的时候人缘很好班级里同学们推选积极分子我凭借自己的口才和人缘打败两个班长成功入选这是我无心或者没什么所谓的东西但是我的班长那天就哭了他觉得对他来说很重要我当时是不体会他的心情的虽然他现在已经是党员了但是我觉得那时候的他肯定很难过后来大二的时候我个人很中意辩论赛很喜欢看那些辩论的节目我报名了然后实际上我是我们队表现最好的但是大二我跟同学们关系不怎么好而且投票的同学对辩论一无所知不知道怎么看谁表现好谁表现不好我直接被投票出去了不得不说当时我是很很很超级超级难过的我当时还跟那个班委强烈要求换人我毛遂自荐说我肯定比那三个队友做的好因为当时我带他们三个人的但是我是四个人当中唯一一个被投出来的人他们三个都进了被拒绝了当时的心情可想而知到了现在回想起来我觉得就是有些东西不是说你付出了你努力了你想要就能要的你只能是多去思考多想想办法努力争取得不到的就放弃让自己看开点难过了就创造让自己开心一点的环境碎碎念谨上给普普通通的你和我
匿名用户,这位不知道是学弟还是学妹我想我应该很有资格回答你的问题我年上大学大一进校的时候因为是本系第一届学生所以如愿进入系学生会任第一届学生会副主席分管底下一个比较重要的部门然而一年后我就退了因为我有我自己的事要做先说结论不能说学生会无用但能学到的东西非常有限就我个人感觉而言学生会锻炼了我沟通协作的能力但是很有限其实学生会学不到太多理由很简单一帮就比你多读一两年书的学长学姐自己可能都弄不明白很多事怎么可能教你太多如果你真想学到什么那就用暑假时间去找一个公司实习比在学生会里待一两年都有用如果你是大一我建议你可以进去体会一下学生会里你会见到形形色色的人也会学着处理一些事你遇到的人里可能会有的和蔼有的开朗有的做事细致有的腹黑甚至还有勾心斗角也会遇到各种奇奇怪怪的事但这些都会是你的经历都会给你带来一定的成长友情提醒那些混到大三大四还在学生会里的学长学姐就不要仰望了一般大二下学期很多人就会开始规划自己未来的路大三开始考证考研考公就开始提上日程了这帮人这时候还混在学生会里跟学弟学妹们装是个什么货色自己琢磨一下你也明白了所以不否认学生会能给人带来一部分的成长但是非常有限当你觉得你已经没有东西可以学或者厌恶这个团体的时候你就可以离开学生会了如果你没进学生会或者班委也不用灰心好好念书去做做喜欢的事谈个恋爱早点规划自己的人生也未必不是一件好事况且你才大一参加一个或几个喜欢的社团为不失为一件好事找工作的时候学生会经历没啥用都是从最基础干起更重要的还是看你自身能力你还想写个学生会主席人家能给你直接当领导吗不可能的成绩证书实习经历家庭背景这些才是重点学生会什么的讲实话你门门挂科一本证书没有也没有相关实习经历家庭背景也一般甚至还没看到你学生会主席这一条就把你简历扔进垃圾箱了所以没进学生会或者当班委就好好读书吧或者去谈一场恋爱一身轻松的感觉挺好的毕竟以后你会被很多琐事所累好好提升自己或者去做一些自己想做的事加油年轻人
轩之诺,有点不开心还能接受但真没必要难受你应该做的是用行动去弥补这次失败至于如何行动后面再聊先说说竞选班委失败这件事竞选班委失败的原因有很多可以分为外因和内因外因有很多只说关键的一点男女比例大一大家都刚刚来嘛彼此都不了解竞选班委这件事其实很水你们班男女比例那你们班男生肯定竞选不过女生就问你信不信这种客观因素是无法改变了你觉得有必要为此难过如果你们班男女比例平衡那么你还是竞选失败了那么就有必要来找找内因了首先请明确一点我们找自己失败的原因不是为了证明自己不行而是为了完善自己强大自己进而成就自己谁还没有失败过年前希拉里克林顿与特朗普竞选美国总统全世界都预测总统世家出身的希拉里是不会输给一个毫无政治背景只会满嘴跑火车出身的商人但是就是这样一个几乎被全世界认为一定会赢的政治女强人却输了输了这么大的一个比赛她难道还不活了没有好吧人家还是该干啥干啥那么竞选班委失败内因会是什么呢大概有这么几个原因发言准备不充分自我介绍没有亮点上台讲话紧张等等当你回顾竞选过程发现了一些自己的不足那么恭喜你这次所谓失败的班委竞选还是非常有意义的如果说班委竞选失败你只在那难过没有想过哪些地方没做好那么是你活该难过好吧搞清楚自己不足的地方不能就完事儿了要通过网上搜集相关资料以及向学长学姐去寻求经验来完善自己如果说你还不甘心你完全可以借这次失败的经验去竞选更好的职位如院学生会校学生会社团等等的职位作为一个已经大三的老油条都把话说到这个份上了做不做就是你的事了如果有什么疑问欢迎私信我轩之诺
书rainrui,恭喜
风斩空昼,珍惜机会走好好学习路线哦好好学习胜过学生干部成绩最重要
蔗味先生,什么颜色的组织就需要什么颜色的人有的组织不要你说明他们配不上你你跟你自己认识了年了因为一个新认识的什么组织就否定你自己不至于吧在大学大多数好处都是要看绩点的好好学习比学生组织有用多了
圆脸小之,拍拍你接下来你可以好好享受你的大学生活了如果你还想锻炼自己的话可以加入社团当社团干事慢慢再到副部部长说不定你就是下一个部长呢作为一个今天卸任的学委先讲一下不干学委后的感受特别快乐开心最重要三年来我只有现在才感觉我在过大学生活每天早起学习睡觉运动健身闲的时候看看剧太美好了辞职前我想的是班委带来的福利远远没有我当下的快乐重要不用为工作操心不用去跟人抢着做刷脸的工作证明自己干活了不用受气又不给我发工资受个什么气啊
