author,content
DOOM SLAYER,不怎么样我亲眼看到过吴京穿个粉红色裙子被马云打
水迁梦散,吴京这种就是虚肌肉就是吃各种蛋白质增肌看上去很结实其实没卵用打个比方就是我和他单挑用不了秒他就会跪在地上掐我的人中求我不要死
轩子的高山长竹,小于等于武警吧原来战狼出来以后我专门问一个服了两年特种兵兵役的朋友就是在川藏那边两年里天天往死里被虐的训练我问他不说那么多战斗力的开挂问题什么用铁丝网挡住反坦克这些艺术表现手法不不说人体描边大师的主角光环我只问下像战狼里面这种连续几十个小时的极限作战的体能状态还有精神力和意志力你们特种兵达到了吗他说这个小他们部队里多的是比这个恐怖的听他说完我就放心的去做黄瓜切片接着打开电视电脑看美国暴动了还屯粮还建地窖还末日论屯个锤子这么美好的事还是交给自由主义的帝国人民吧
奶酪君Combat,探讨这个问题没有意义现代搏击的优越之处就在于科学的训练体系我在站一直搬运的一个立陶宛小哥的故事从被综合格斗选手按在地上摩擦到能打业余比赛用了一年时间正规训练吴京一个前套路运动员武打演员说和他约战他要真敢应他肯定得针对性备战吧他得练格斗吧到底能练成什么样谁也不知道他的实战能力上限尚不明确你把他直接从片场拉出来让他打一场他不会表现得多好问题是这能说明问题吗当然无论如何你要指望着他像电影里一样厉害那是不存在的实战能力的讨论要首先展现过稳定的实力比如巅峰状态的职业格斗运动员或者已经反复验证实力并且没有太大进步空间的人如徐某和某虫或者沉浸在意淫世界里以为自己已经无敌而无需进步的大湿
明天eat土豆,如果题主对吴京的实战能力有质疑的话约一场就可以了手动滑稽
空白格,吴京是什刹海体校的跟李连杰甄子丹是校友拿过武术冠军当然武术的套路打架的时候根本用不上但是那些高难度动作体现了吴京过人的身体素质和协调性看吴京的电影可以看出来他出拳的速度很快体脂比很低条状肌肉块头不大但是很精壮力量感十足爆发力很强速度也快在格斗中很有优势邹市明是世界职业拳王虽然都觉得他技术单一但是实际上真正动手的时候最实用的就是拳法和摔跤吴京在武术套路方面是高手但要说和邹市明实战还是存在差距但是在武打演员里吴京应该是很厉害的了我记得香港有个武打演员拿过香港泰拳冠军和当过成龙的保镖曾经评价过一堆目前比较活跃的武打演员认为擂台对决最能打的应该是甄子丹因为甄子丹接受过比较完备的竞技格斗训练而吴京也很强不是有那么一句话么不要拿你的兴趣爱好和别人吃饭的家伙去比我觉得这些武打演员不要说和邹市明这种拿过拳击冠军的比就是一般受过专业训练的职业拳击运动员恐怕都比不了吴京是一个真会武术的人功夫不错算得上一流水平但是毕竟是演员他的功夫还是以花哨为主缺乏实战经验他肯定身体素质很好一个人能打三四个吧但是肯定不如专业的武术高手和搏击高手实战能力强李小龙当之无愧的功夫之王李连杰那么厉害都是功夫都是有套路是一项运动只有李小龙是真功夫我想说吴京也是一位厉害的武术运动员不过吴京真的很厉害
Charles.Z,一拳一个键盘侠是肯定没问题
David J,能在陆军特战待了个月的男人就一个字牛据我所知他去的是当时南京军区的特战南京军区的特战虽然不是全军最牛但作为特战这帮人肯定是全军最牛的一帮人特战的实战能力我打个发生在我身边的例子吧我入伍那年有个带我们的上等兵号称入伍前拿过某个省连续两年的拳王金腰带因为有这个据说就引起了我们这帮同年兵里刺头的特别注意这几个刺头有原来混在街头特能打的打手有在武校待过超过年的练家子碍于规章制度他们一直存在口角但是一直美爆发实质冲突一直到我们新兵营来了一帮特战的挑人来的是三个特战旅的就是随便到各个新兵营逛逛有好的苗子就挑过去好好培养不一定挑走但基本上都会把素质高的拉出来看看我是新兵里会和摄影的因此机缘巧合下偷听到点对话大概内容就是这位上等兵拳王当年被挑走了挑他走的人这次也来了看见了他叫过来调侃了一番为啥调侃他因为他怂了没在特战撑住那拳王平时在一期士官里都是横着走的见了特战那个一期士官乖得跟孙子似的之后为了检验这几个刺头的水准就拿这个上等兵作为标准举行了一场秘密的我还是个菜鸡没资格也没能力观摩但之后偶然听到新兵营文书班长说这几个刺头被虐了结合这几个刺头之后的训练消失了那么天回来之后对这个拳王上等兵毕恭毕敬的我就知道估计是被按在地上摩擦了按照基本逻辑按照战斗力来说非纯粹徒手打架普通男性打手练家子拳王特战而吴京可是个临走的时候让特战拉横幅表达敬意的男人所以我感觉普通拳脚之争他一个人打成年人没啥问题涉及械斗的话可能会顶的上个成年男性涉及枪械那跟普通人没得比澄清下我讲这个故事不是为了比较拳王和特战在有规则和单纯徒手的打架能力我是为了比较的特战的战斗力才说的这么一件事最后的这个基本逻辑也是在纯粹歼敌的战斗力条件下说的没有规则限制也就是说狭路相逢最快干掉对方的能力能干掉最多对方的能力就是战斗力特战比拳王要高也是因为特战会第一时间反应上器械应对拳王而不是真的徒手格斗请大家不要再误以为真的只是限于徒手打架不友善的不讲理装专家看不明白我啥意思的我不会再回复了看的明白并认同的感谢交流看不明白不认同的您就当个吹牛逼的故事爱看看不爱看走开就是了
伊泽贝尔,如果实战以擂台规则为标准从吴京散打的那个视频中对练的情况来看吴京实战能力一般面对拳的时候手总是掉掉手的话很容易被人打到甚至这纯粹就是练的少毕竟吴京不是专业散打运动员看到其他回答中吴京练习散打是为了拍摄电影黑拳而擂台规则的实战无论拳击站立还是综合都是需要大量的训练才能达到一定水准的所以吴京本职工作是一名演员以散打水平对比散打运动员的话所谓术业有专攻真就是很一般的水平但是吴京的基础条件特别好同样的训练量吴京水平可能会优于其他人如果是街头无规则徒手搏击就是打架那种吴京实战能力应该远强于体重差异公斤内的普通人因为作为武术冠军的身体素质和协调性参演不同类型的动作电影接触到搏击知识以及气魄都较于平时无运动习惯的人有着质的区别如果是街头遇到相同级别搏击运动员那我还是觉得搏击运动员占优还是那句话术业有专攻搏击运动员就是干这个的天天训练需要和人打实战对于距离感时机角度的掌握都是融入到肌肉记忆里的我个人认为所有行业的高手玩的也就是一个肌肉记忆正所谓唯手熟尔动作演员毕竟是将打斗的艺术性呈现在荧幕上而不是真的去研究如何制服对方以上的一切都来自于我凭空猜测因为无论是吴京也好其他动作明星也好我们都没看到过他们实战的样子所以一切皆猜测
伯光君,人和人是不一样的我如果极度愤怒的情况下可以单手一拳把吴京打飞吴京如果用飞身踢我我瞬间来一个滑铲然后滑到吴京胯下猛击他的下体那吴京瞬间就了
深海恐惧,很强在精神冲击领域是大师级类似于战术核弹搞出一大批吴京效果拔群
猫剑士,我只擅长看兵器格斗这些年不知道但是杀破狼里面甄子丹和吴京有一场经典的短兵器格斗巷战其中吴京在剧情第一阶段被甄子丹戳到腋下肋之后开始了一段几十秒的自由对打不套招从那几十秒的对打中可以看出吴京虽然拿过兵器类的武术冠军但完全没有兵器格斗的对战经验节奏混乱全程慌的一匹也不知道真打时哪些动作和攻击手段是好用的再看甄子丹就稳健很多距离感不错试探性出招打空之后收棍时还不忘出招占领制空圈看起来哪怕没有一定的兵器对战格斗经验也是有一定的徒手格斗对战经验
失意,这实战指的是速射野外生存武装泅渡步坦协同还是只能是散打搏击
「已注销」,一吴京个人经历年吴京出生于北京一个武术世家是满族正白旗岁时吴京开始在北京市什刹海体校练习武术年开始随武术队参加国际交流活动同年获得全国武术比赛拳枪刀冠军年吴京进入北京市武术队并在师傅的指导下接受专业训练年获得全国武术比赛枪术对练冠军年获得全国武术比赛精英赛枪术对练冠军年吴京为了拍特种兵的片子到部队体验生活个月二吴京的实战能力如何吴京是一个动作演员只是为了把华丽的动作展现出来让动作看起来更有力气更有视觉上的冲击从而让观众体悟武术的奥义与美感而一个专业的搏击人员没有华丽的肢体动作只为了在最短的时间能击到对方吴京是学武术套路的懂的人都知道虽然武术套路不讲实战但很考验人体的爆发力柔韧体能和协调性但武术套路的确远不如专业搏击那么能打而让一个演员和一个专业格斗人员比赛谁强谁弱显然是不合理不公平的吴京从小就习武并拿过很多奖项有很好的身体素质条件虽然武术套路不讲实战但很考验人体的爆发力柔韧体能和协调性传统武术的发展方向无非是向着健康养生的方向发展学习传统武术的人其实并不会在其的实战水平如何因为传统武术重点偏向健康养生
易十一,小时候陪我哥看了好多黑帮电影和港片打打杀杀的看多了也就没什么太大的感触反派一贯的装酷最后被主角打的屁滚尿流跪地求饶的戏码屡见不鲜唯一比较深刻的是杀破狼里面演王宝手下的一个男配角一袭白衣顶着有点非主流的黄毛是一个沉默寡言的杀手做事果断辛辣凌厉冷酷和甄子丹的巷战至今都堪称经典后来又慢慢的看了男儿本色狼牙夺帅等电影每当他出场的时候我都替暗暗主角捏了一把汗虽然我知道你是主角不会但是这小子可不是一般人啊看起来是有点功夫在身上的打人隔着屏幕我都觉得好疼啊靓女紧张问他实战能力如何的我不想知道人家的拳头看起来是拳头我的拳头看起来总是有点像豆沙包后来吴京成功的成为了我记忆里人狠话不多拳拳到肉看到他我有点小害怕的经典反派形象代表人物之一
梦龙,恕我直言功夫一般凭亿近人的马爸爸才是真正的扫地僧功守道吴京差点被打残他却连马云的身都没摸到
和明,我也想回答这个问题出于私心没想到我都退伍了天上还给南京军区掉个黑斧子一个军区的战友也不知道到北京能不能联系上一起吹大绿棒子以我对南京军区的了解是名气越大能力越强练的越狠良性循环武力值这一块军人练的都是杀人技兵练的是耐力爆发力双管齐下凶残一点猜测十到二十个左右普通男子应该能打的过以失去有效战斗力为标准判定为出局以折一条胳膊为基础准判定为失去有效战斗力网友问南京军区这把金斧子是你的吗不是这把银斧子是你的吗不是就这把黑的是南京军区眼里没有明星只有站士只有楷模训练强度参考电影冲出亚马逊里的猎人侯勇主演的也是南京军区的现实里猎人训练强度跟电影里出入不大
爱吃橡皮糖,我估摸着啊能在特种部队里训练一年半全程参加各种训练打破一系列记录得到军方高度赞扬的人肯定不是什么水货抗五十公斤圆木冲刺已经吊打绝大部分普通人不过部队和搏击肯定有区别在擂台上按规则打同量级肯定打不过职业运动员但要是拿着刀枪就和电影里一样没有规则约束实战能力肯定是不一般的强术业有专攻特种兵擂台上肯定打不过职业但是擂台下赢的可能性还是很大的我就不拿他和普通人比了没必要简而言之你觉得特种兵实力是个什么水平就知道了
红药先生,马云知道吧就那小鸡仔一样的身材几下就给吴京干趴下了可见吴京实战能力很一般
可乐,我们军训教官在陆军待了三年给我们训练的时候跟我们说其实普通士兵真的不怎么练习格斗的就只是基础的几个再加上一点技巧愿意学的或者底子好的就多练练大部分时间都是练体能反正就是花式折腾自己什么五公里啊拉练啊匍匐前进踢正步啊练战术啊因为当时我们教官和我们说陆军其实真的不怎么看重格斗一排炮打完陆军冲上去范围内就开枪了近身情况真的少所以像吴京这样有武术基础体力又好的是比大部分普通士兵都要强一大截的至于实战真的不好说格斗没问题但上战场是要配合的单打独斗就是特种部队也不现实
之乎者也,吴京是演员问他演技如何凑合能看吴京是导演问他导演水平如何比他做演员更好吴京实战能力如何应该比普通人强这些都不重要就算他演技烂导演水平不高被幼儿园小朋友揍但是他有颗金子般的的爱国赤字之心
福源,看了如下视频你就知道如今的实战能力有多么强了简直堪称好莱坞动作的典范
凉心四十八天,不妨听他师兄说说吧
洛天二,能用枪解决的事想那么多干嘛
藏宝海湾,如果是一个搏击运动员或者是一个战绩彪炳战士做了演员你的实战履历摆在那里有据可查那我们可以说一说战斗力的话题一个武术冠军转行做演员谈战斗力就很滑稽谈什么谈咱们的脑洞有多大么虽然身体素质强但我一个外行都明白以战斗为目的训练和武术训练方向是不一样的拳脚反关节要害打击各种治敌技法战斗力水平更是需要大量的实战经验来累积而武术就如大家看到的一样武术的比赛似乎更加注重于固定的动作标准和连贯性这确实需要长期大量的训练但却和实战搭不上边就如同身边的运动爱好者们也不能指望他们就因为身体素质好就一个打好几个吧而演员更加爱护自己的羽毛不可能去真的打擂台所以演员就是演员不要把角色和现实混淆战斗力虚无缥缈的这种东西让二次元爱好者们去讨论吧有人不认可这种结论总会用别人嘴里的描述试图证明些什么但是作为一个成年人都懂名利场里商业互吹的可信度是多么可笑就好比哎呀你又瘦了这种话一样假
ssyyg,不咋地打不过马爸爸
匿名用户,皮一下在下混元太极腿创始人大家叫我计老师就好我曾看过一次吴京的散打视频看得出他的实力还是可以的但也仅仅是可以为什么这么说呢因为与老计相比吴京老师的实力确实一般无论是我的猴子偷桃还是被迫平沙落雁都可以完美招架他的攻势当我使用被迫平沙落雁后躺在地上的我能立刻使出蓄力已久的隔山踢牛腿成功反击当吴京老师被我踢退后我便可乘胜追击一招内劲外放就能震得吴京七荤八素头晕目眩弄不好还会把吴京推到七八米开外现在我全网发布擂台挑战如果吴京老师有胆量与我对战那我们不见不散狗头提示拳脚无眼吴京老师记得买
冷冷不太冷,首先我认为演员就是演员不管怎么样要一个演员去和一个专业的人打斗是没有道理的也是不公平的作为一个演员为的是做出华丽的动作让动作看起来有力气同时还具有美感让观众能从中体会武术的奥秘与美感而一个专业的拳击运动员却不是如此他们的动作并不华丽出拳的目的也是为了打到对方所以实战能力吴京肯定是有所欠缺的在战狼系列的电影中吴京出演塑造的人物形象过于强硬每一个都是一个活生生有血有肉的硬汉形象电影中的主人公武艺高强能力出众人们在观影的过程中会慢慢的被电影的镜头所欺骗自然而然的相信吴京的实战能力就如他在电影里表现的那样那么强悍其实并不是如此那么就说吴京一定没有实战能力吗不不不这肯定不是的其实吴京跟李连杰甄子丹是同一个学校毕业的也就是同为什刹海体校年轻时的吴京还拿过武术冠军但是这可以说是还可以了但是还是那句话表演就是表演不能真刀实枪的和其他人干一架电影里面的武打场景可以说是武术套路的体现而吴京就是这方面的专家就我们所知吴京自年进入北京市武术队从事专业训练从师吴彬他的动作所有都是为了训练没有实战经历所以就不要说什么实战水平了
聆听,只要我跑的足够快吴京就追不上我吴京追不上我他就打不过我天下武功唯快不破
枝坞,强啊能吃苦力量也足之前看杀破狼的时候那些动作戏可是实打实的虽然我本人不是很喜欢他电影的风格但是他武打还是可以的
粽子,反正我觉得打我这样的真的能打一百个
猪狗不如,一般街头斗殴的话估计可以吊打好几个我我身高体重擂台上的话肯定打不过职业运动员如果是特种作战各种武器都有他能玩死好几个职业运动员
黄小勇,你瞧吴京那瘦小的样子也就是拍拍电影真要实战真的兄弟不是跟你吹就我这练过几年散打的拳法一拳过去肯定能让吴京能赔医药费赔到哭
小小一菜鸟,不请自来那么多人在这吹演员的实战能力说的好像自己和他打过一样结论所有演员包括李小龙在内的动作明星他们真的挺会演
活到宇宙重启,瞎回答一个我是三脚猫功夫还是年入伍日照海防部队因为三脚猫功夫可以轻松做伏地挺身挺胸弹起一些基本功惊呆当年一起新兵我五公里一般全团名因为有一个大长腿就是跑不过他河北的帅哥真的细皮嫩肉的帅锅我当年当兵就是想学辛弃疾醉里挑灯看剑梦回吹角连营醉卧沙场秋点兵所以训练我非常积极最喜欢搞敌情演练我从新兵连到退伍打架斗殴次一平其他次完胜肌肉抗击打耐力爆发力可以在同年兵里得瑟得瑟但我知道吴京要揍我就和我揍幼儿园大班的班长一样一看就知道出拳申腿稳不稳带不带劲反应速度单手俯卧撑就可以简单检测一下我一个就倒下
三国哥哥,我觉得一般吧毕竟连一个瘦弱的杭州教师都打不过的人也就那样吧
恶魔猎手,我不会质疑一个进过部队的人认真起来是否能打
这一枪叫晚安,吴京经过个月特种兵训练技体能格斗各方面肯定比一般军人强很多的军队不是闹着玩的不像高中军训那样练一会儿玩一会儿能得到南京军区的称赞并且南京军区在拍摄战狼的时候得到很多军事支持说明吴京的确很优秀
