univNameCn,univNameEn,univTags,univCategory,province,score,ranking
清华大学,Tsinghua University,一流大学A类 985 211,综合,北京,852.5,1
北京大学,Peking University,一流大学A类 985 211,综合,北京,746.7,2
浙江大学,Zhejiang University,一流大学A类 985 211,综合,浙江,649.2,3
上海交通大学,Shanghai Jiao Tong University,一流大学A类 985 211,综合,上海,625.9,4
南京大学,Nanjing University,一流大学A类 985 211,综合,江苏,566.1,5
复旦大学,Fudan University,一流大学A类 985 211,综合,上海,556.7,6
中国科学技术大学,University of Science and Technology of China,一流大学A类 985 211,理工,安徽,526.4,7
华中科技大学,Huazhong University of Science and Technology,一流大学A类 985 211,综合,湖北,497.7,8
武汉大学,Wuhan University,一流大学A类 985 211,综合,湖北,488.0,9
中山大学,Sun Yat-Sen University,一流大学A类 985 211,综合,广东,457.2,10
西安交通大学,Xi'an Jiaotong University,一流大学A类 985 211,综合,陕西,452.5,11
哈尔滨工业大学,Harbin Institute of Technology,一流大学A类 985 211,理工,黑龙江,450.2,12
北京航空航天大学,Beihang University,一流大学A类 985 211,理工,北京,445.1,13
北京师范大学,Beijing Normal University,一流大学A类 985 211,师范,北京,440.9,14
同济大学,Tongji University,一流大学A类 985 211,理工,上海,439.0,15
四川大学,Sichuan University,一流大学A类 985 211,综合,四川,435.7,16
东南大学,Southeast University,一流大学A类 985 211,综合,江苏,432.7,17
中国人民大学,Renmin University of China,一流大学A类 985 211,综合,北京,409.7,18
南开大学,Nankai University,一流大学A类 985 211,综合,天津,402.1,19
北京理工大学,Beijing Institute of Technology,一流大学A类 985 211,理工,北京,395.6,20
天津大学,Tianjin University,一流大学A类 985 211,理工,天津,390.3,21
山东大学,Shandong University,一流大学A类 985 211,综合,山东,387.9,22
厦门大学,Xiamen University,一流大学A类 985 211,综合,福建,383.3,23
吉林大学,Jilin University,一流大学A类 985 211,综合,吉林,379.5,24
华南理工大学,South China University of Technology,一流大学A类 985 211,理工,广东,379.4,25
中南大学,Central South University,一流大学A类 985 211,综合,湖南,378.6,26
大连理工大学,Dalian University of Technology,一流大学A类 985 211,理工,辽宁,365.1,27
西北工业大学,Northwestern Polytechnical University,一流大学A类 985 211,理工,陕西,359.6,28
华东师范大学,East China Normal University,一流大学A类 985 211,师范,上海,358.0,29
中国农业大学,China Agricultural University,一流大学A类 985 211,农业,北京,351.5,30
湖南大学,Hunan University,一流大学B类 985 211,综合,湖南,348.3,31
电子科技大学,University of Electronic Science and Technology of China,一流大学A类 985 211,理工,四川,334.8,32
北京科技大学,University of Science and Technology Beijing,一流学科 211,理工,北京,321.8,33
重庆大学,Chongqing University,一流大学A类 985 211,综合,重庆,320.9,34
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,一流学科 211,理工,江苏,319.5,35
南京理工大学,Nanjing University of Science and Technology,一流学科 211,理工,江苏,317.1,36
东北大学,Northeastern University,一流大学B类 985 211,理工,辽宁,314.0,37
苏州大学,Soochow University (China),一流学科 211,综合,江苏,306.8,38
华中农业大学,Huazhong Agricultural University,一流学科 211,农业,湖北,300.5,39
