univNameCn,univNameEn,univTags,univCategory,province,score,ranking
清华大学,Tsinghua University,一流大学A类 985 211,理工,北京,94,1
北京大学,Peking University,一流大学A类 985 211,综合,北京,81,2
浙江大学,Zhejiang University,一流大学A类 985 211,综合,浙江,78,3
上海交通大学,Shanghai Jiao Tong University,一流大学A类 985 211,综合,上海,77,4
复旦大学,Fudan University,一流大学A类 985 211,综合,上海,71,5
中国科学技术大学,University of Science and Technology of China,一流大学A类 985 211,理工,安徽,66,6
南京大学,Nanjing University,一流大学A类 985 211,综合,江苏,65,7
华中科技大学,Huazhong University of Science and Technology,一流大学A类 985 211,理工,湖北,63,8
中山大学,Sun Yat-Sen University,一流大学A类 985 211,综合,广东,63,9
哈尔滨工业大学,Harbin Institute of Technology,一流大学A类 985 211,理工,黑龙江,62,10
同济大学,Tongji University,一流大学A类 985 211,理工,上海,61,11
东南大学,Southeast University,一流大学A类 985 211,综合,江苏,60,12
武汉大学,Wuhan University,一流大学A类 985 211,综合,湖北,58,13
北京航空航天大学,Beihang University,一流大学A类 985 211,理工,北京,58,14
南开大学,Nankai University,一流大学A类 985 211,综合,天津,58,15
四川大学,Sichuan University,一流大学A类 985 211,综合,四川,57,16
西安交通大学,Xi'an Jiaotong University,一流大学A类 985 211,综合,陕西,57,16
天津大学,Tianjin University,一流大学A类 985 211,理工,天津,56,18
华南理工大学,South China University of Technology,一流大学A类 985 211,理工,广东,56,19
北京师范大学,Beijing Normal University,一流大学A类 985 211,师范,北京,55,20
厦门大学,Xiamen University,一流大学A类 985 211,综合,福建,55,21
山东大学,Shandong University,一流大学A类 985 211,综合,山东,54,22
大连理工大学,Dalian University of Technology,一流大学A类 985 211,理工,辽宁,54,23
吉林大学,Jilin University,一流大学A类 985 211,综合,吉林,54,24
北京理工大学,Beijing Institute of Technology,一流大学A类 985 211,理工,北京,53,25
中南大学,Central South University,一流大学A类 985 211,综合,湖南,52,26
对外经济贸易大学,University of International Business and Economics,一流学科 211,财经,北京,52,27
苏州大学,Soochow University (China),一流学科 211,综合,江苏,52,28
中国人民大学,Renmin University of China,一流大学A类 985 211,综合,北京,52,28
西北工业大学,Northwestern Polytechnical University,一流大学A类 985 211,理工,陕西,51,30
湖南大学,Hunan University,一流大学B类 985 211,综合,湖南,51,31
华东理工大学,East China University of Science and Technology,一流学科 211,理工,上海,50,32
华东师范大学,East China Normal University,一流大学A类 985 211,师范,上海,50,32
电子科技大学,University of Electronic Science and Technology of China,一流大学A类 985 211,理工,四川,49,34
重庆大学,Chongqing University,一流大学A类 985 211,综合,重庆,49,35
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,一流学科 211,理工,江苏,49,36
北京科技大学,University of Science and Technology Beijing,一流学科 211,理工,北京,49,37
上海财经大学,Shanghai University of Finance and Economics,一流学科 211,财经,上海,49,38
南京理工大学,Nanjing University of Science and Technology,一流学科 211,理工,江苏,48,39
中国农业大学,China Agricultural University,一流大学A类 985 211,农业,北京,48,39
北京交通大学,Beijing jiaotong University,一流学科 211,理工,北京,47,41
北京化工大学,Beijing University of Chemical Technology,一流学科 211,理工,北京,47,42
首都医科大学,Capital Medical University,,医药,北京,47,42
福州大学,Fuzhou University,一流学科 211,理工,福建,47,44
武汉理工大学,Wuhan University of Technology,一流学科 211,理工,湖北,47,44
中央财经大学,Central University of Finance and Economics,一流学科 211,财经,北京,47,44
北京邮电大学,Beijing University of Posts and Telecommunications,一流学科 211,理工,北京,47,47
东华大学,Donghua University,一流学科 211,理工,上海,47,47
华中师范大学,Central China Normal University,一流学科 211,师范,湖北,47,47
上海大学,Shanghai University,一流学科 211,综合,上海,46,50
西安电子科技大学,Xidian University,一流学科 211,理工,陕西,46,51
北京协和医学院,Peking Union Medical College,一流学科,医药,北京,46,52
天津医科大学,Tianjin Medical University,一流学科 211,医药,天津,46,53
华北电力大学,North China Electric Power University,一流学科 211,理工,北京,45,54
东北大学,Northeastern University,一流大学B类 985 211,理工,辽宁,45,55
东北师范大学,Northeast Normal University,一流学科 211,师范,吉林,45,55
暨南大学,Jinan University,一流学科 211,综合,广东,45,57
兰州大学,Lanzhou University,一流大学A类 985 211,综合,甘肃,45,58
江南大学,Jiangnan University,一流学科 211,综合,江苏,45,59
南京医科大学,Nanjing Medical University,,医药,江苏,45,59
中国海洋大学,Ocean University of China,一流大学A类 985 211,综合,山东,45,61
上海外国语大学,Shanghai International Studies University,一流学科 211,语言,上海,44,62
中国地质大学（北京）,China University of Geosciences (Beijing),一流学科 211,理工,北京,44,63
西南财经大学,Southwestern University of Finance and Economics,一流学科 211,财经,四川,44,64
中国地质大学（武汉）,China University of Geosciences (Wuhan),一流学科 211,理工,湖北,44,65
华中农业大学,Huazhong Agricultural University,一流学科 211,农业,湖北,44,66
南方医科大学,Southern Medical University,,医药,广东,44,66
合肥工业大学,Hefei University of Technology,一流学科 211,理工,安徽,44,68
中国医科大学,China Medical University (Shenyang),,医药,辽宁,43,69
西南大学,Southwest University,一流学科 211,综合,重庆,43,70
南京农业大学,Nanjing Agricultural University,一流学科 211,农业,江苏,43,71
中国药科大学,China Pharmaceutical University,一流学科 211,医药,江苏,43,71
中南财经政法大学,Zhongnan University of Economics and Law,一流学科 211,财经,湖北,43,71
哈尔滨工程大学,Harbin Engineering University,一流学科 211,理工,黑龙江,43,74
中国石油大学（北京）,China University of Petroleum - Beijing,一流学科 211,理工,北京,43,74
浙江工业大学,Zhejiang University of Technology,,理工,浙江,43,76
东北财经大学,Dongbei University of Finance and Economics,,财经,辽宁,43,77
河海大学,Hohai University,一流学科 211,理工,江苏,43,77
中国矿业大学,China University of Mining and Technology - Xuzhou,一流学科 211,理工,江苏,43,77
北京工业大学,Beijing University of Technology,一流学科 211,理工,北京,43,80
中国石油大学（华东）,China University of Petroleum (Huadong),一流学科 211,理工,山东,43,80
广东外语外贸大学,Guangdong University of Foreign Studies,,语言,广东,43,82
南京师范大学,Nanjing Normal University,一流学科 211,师范,江苏,42,83
中国政法大学,China University of Political Science and Law,一流学科 211,政法,北京,42,84
北京中医药大学,Beijing University of Chinese Medicine,一流学科 211,医药,北京,42,85
西南交通大学,Southwest Jiaotong University,一流学科 211,理工,四川,42,85
华南师范大学,South China Normal University,一流学科 211,师范,广东,42,87
中国传媒大学,Communication University of China,一流学科 211,语言,北京,42,87
北京林业大学,Beijing Forestry University,一流学科 211,林业,北京,42,89
江苏大学,Jiangsu University,,综合,江苏,42,89
深圳大学,Shenzhen University,,综合,广东,42,89
汕头大学,Shantou University,,综合,广东,42,92
首都经济贸易大学,Capital University of Economics & Business,,财经,北京,42,92
西北农林科技大学,Northwest A&F University,一流大学B类 985 211,农业,陕西,42,92
浙江师范大学,Zhejiang Normal University,,师范,浙江,41,95
安徽大学,Anhui University,一流学科 211,综合,安徽,41,96
大连医科大学,Dalian Medical University,,医药,辽宁,41,97
浙江理工大学,Zhejiang Sci-Tech University,,理工,浙江,41,97
南京邮电大学,Nanjing University of Posts and Telecommunications,一流学科,理工,江苏,41,99
华侨大学,Huaqiao University,,综合,福建,41,100
宁波大学,Ningbo University,一流学科,综合,浙江,41,100
西北大学,Northwest University,一流学科 211,综合,陕西,41,102
南京工业大学,Nanjing Tech University,,理工,江苏,41,103
上海中医药大学,Shanghai University of Traditional Chinese Medicine,一流学科,医药,上海,41,103
陕西师范大学,Shaanxi Normal University,一流学科 211,师范,陕西,40,105
首都师范大学,Capital Normal University,一流学科,师范,北京,40,105
西交利物浦大学,Xi'an Jiaotong-Liverpool University,,综合,江苏,40,105
杭州电子科技大学,Hangzhou Dianzi University,,理工,浙江,40,108
杭州师范大学,Hangzhou Normal University,,师范,浙江,40,109
燕山大学,Yanshan University,,理工,河北,40,109
大连海事大学,Dalian Maritime University,一流学科 211,理工,辽宁,40,111
河北工业大学,Hebei University of Technology,一流学科 211,理工,天津,40,111
南京信息工程大学,Nanjing University of Information Science & Technology,一流学科,理工,江苏,40,111
中央民族大学,Minzu University of China,一流大学A类 985 211,民族,北京,40,114
沈阳药科大学,Shenyang Pharmaceutical University,,医药,辽宁,40,115
天津财经大学,Tianjin University of Finance & Economics,,财经,天津,39,116
哈尔滨医科大学,Harbin Medical University,,医药,黑龙江,39,117
浙江工商大学,Zhejiang Gongshang University,,财经,浙江,39,118
长安大学,Chang'an University,一流学科 211,理工,陕西,39,119
湘潭大学,Xiangtan University,,综合,湖南,39,119
云南大学,Yunnan University,一流大学B类 211,综合,云南,39,121
重庆医科大学,Chongqing Medical University,,医药,重庆,39,122
南京财经大学,Nanjing University of Finance & Economics,,财经,江苏,39,122
上海理工大学,University of Shanghai for Science and Technology,,理工,上海,39,122
湖北大学,Hubei University,,综合,湖北,39,125
湖南师范大学,Hunan Normal University,一流学科 211,师范,湖南,39,125
扬州大学,Yangzhou University,,综合,江苏,38,127
温州医科大学,Wenzhou Medical University,,医药,浙江,38,128
浙江财经大学,Zhejiang University of Finance and Economics,,财经,浙江,38,128
安徽医科大学,Anhui Medical University,,医药,安徽,38,130
福建医科大学,Fujian Medical University,,医药,福建,38,130
广东工业大学,Guangdong University of Technology,,理工,广东,38,132
广州医科大学,Guangzhou Medical University,,医药,广东,38,133
河北医科大学,Hebei Medical University,,医药,河北,38,133
辽宁大学,Liaoning University,一流学科 211,综合,辽宁,38,133
上海师范大学,Shanghai Normal University,,师范,上海,38,133
河北大学,Hebei University,,综合,河北,38,137
华南农业大学,South China Agricultural University,,农业,广东,38,137
南昌大学,Nanchang University,一流学科 211,综合,江西,38,139
太原理工大学,Taiyuan University of Technology,一流学科 211,理工,山西,38,139
南京审计大学,Nanjing Audit University,,财经,江苏,37,141
广西大学,Guangxi University,一流学科 211,综合,广西,37,142
山西大学,Shanxi University,,综合,山西,37,143
郑州大学,Zhengzhou University,一流大学B类 211,综合,河南,37,143
广西医科大学,Guangxi Medical University,,医药,广西,37,145
东北林业大学,Northeast Forestry University - China,一流学科 211,林业,黑龙江,37,146
东北农业大学,Northeast Agricultural University - China,一流学科 211,农业,黑龙江,37,147
武汉科技大学,Wuhan University of Science and Technology,,理工,湖北,37,148
石家庄铁道大学,Shijiazhuang Tiedao University,,理工,河北,37,149
渤海大学,Bohai University,,综合,辽宁,37,150
安徽师范大学,Anhui Normal University,,师范,安徽,36,151
长沙理工大学,Changsha University of Science and Technology,,理工,湖南,36,152
