univNameCn,univNameEn,univTags,univCategory,province,score,ranking
清华大学,Tsinghua University,一流大学A类 985 211,综合,北京,969.2,1
北京大学,Peking University,一流大学A类 985 211,综合,北京,855.3,2
浙江大学,Zhejiang University,一流大学A类 985 211,综合,浙江,768.7,3
上海交通大学,Shanghai Jiao Tong University,一流大学A类 985 211,综合,上海,723.4,4
南京大学,Nanjing University,一流大学A类 985 211,综合,江苏,654.8,5
复旦大学,Fudan University,一流大学A类 985 211,综合,上海,649.7,6
中国科学技术大学,University of Science and Technology of China,一流大学A类 985 211,理工,安徽,577.0,7
华中科技大学,Huazhong University of Science and Technology,一流大学A类 985 211,综合,湖北,574.3,8
武汉大学,Wuhan University,一流大学A类 985 211,综合,湖北,567.9,9
西安交通大学,Xi'an Jiaotong University,一流大学A类 985 211,综合,陕西,537.9,10
哈尔滨工业大学,Harbin Institute of Technology,一流大学A类 985 211,理工,黑龙江,522.6,11
中山大学,Sun Yat-Sen University,一流大学A类 985 211,综合,广东,519.3,12
北京师范大学,Beijing Normal University,一流大学A类 985 211,师范,北京,518.3,13
四川大学,Sichuan University,一流大学A类 985 211,综合,四川,516.6,14
北京航空航天大学,Beihang University,一流大学A类 985 211,理工,北京,513.8,15
同济大学,Tongji University,一流大学A类 985 211,理工,上海,508.3,16
东南大学,Southeast University,一流大学A类 985 211,综合,江苏,488.1,17
中国人民大学,Renmin University of China,一流大学A类 985 211,综合,北京,487.8,18
北京理工大学,Beijing Institute of Technology,一流大学A类 985 211,理工,北京,474.0,19
南开大学,Nankai University,一流大学A类 985 211,综合,天津,465.3,20
山东大学,Shandong University,一流大学A类 985 211,综合,山东,447.0,21
天津大学,Tianjin University,一流大学A类 985 211,理工,天津,444.3,22
中南大学,Central South University,一流大学A类 985 211,综合,湖南,442.2,23
吉林大学,Jilin University,一流大学A类 985 211,综合,吉林,435.7,24
西北工业大学,Northwestern Polytechnical University,一流大学A类 985 211,理工,陕西,430.5,25
厦门大学,Xiamen University,一流大学A类 985 211,综合,福建,427.8,26
华南理工大学,South China University of Technology,一流大学A类 985 211,理工,广东,419.8,27
大连理工大学,Dalian University of Technology,一流大学A类 985 211,理工,辽宁,418.2,28
华东师范大学,East China Normal University,一流大学A类 985 211,师范,上海,401.8,29
中国农业大学,China Agricultural University,一流大学A类 985 211,农业,北京,400.4,30
电子科技大学,University of Electronic Science and Technology of China,一流大学A类 985 211,理工,四川,398.8,31
湖南大学,Hunan University,一流大学B类 985 211,综合,湖南,393.5,32
