univNameCn,univNameEn,univTags,univCategory,province,score,ranking
大连医科大学,Dalian Medical University,,医药,辽宁,40,91
杭州师范大学,Hangzhou Normal University,,师范,浙江,40,91
河北大学,Hebei University,,综合,河北,40,93
杭州电子科技大学,Hangzhou Dianzi University,,理工,浙江,40,94
中央民族大学,Minzu University of China,一流大学A类 985 211,民族,北京,40,94
安徽大学,Anhui University,一流学科 211,综合,安徽,40,96
宁波大学,Ningbo University,一流学科,综合,浙江,39,97
山西大学,Shanxi University,,综合,山西,39,97
石家庄铁道大学,Shijiazhuang Tiedao University,,理工,河北,39,97
扬州大学,Yangzhou University,,综合,江苏,39,100
湖北大学,Hubei University,,综合,湖北,39,101
河北医科大学,Hebei Medical University,,医药,河北,39,102
温州医科大学,Wenzhou Medical University,,医药,浙江,39,102
南京信息工程大学,Nanjing University of Information Science & Technology,一流学科,理工,江苏,39,104
深圳大学,Shenzhen University,,综合,广东,39,104
首都师范大学,Capital Normal University,一流学科,师范,北京,39,104
上海理工大学,University of Shanghai for Science and Technology,,理工,上海,39,107
太原理工大学,Taiyuan University of Technology,一流学科 211,理工,山西,39,108
浙江工商大学,Zhejiang Gongshang University,,财经,浙江,39,108
华侨大学,Huaqiao University,,综合,福建,38,110
湖南师范大学,Hunan Normal University,一流学科 211,师范,湖南,38,110
广西大学,Guangxi University,一流学科 211,综合,广西,38,112
上海师范大学,Shanghai Normal University,,师范,上海,38,112
东北林业大学,Northeast Forestry University - China,一流学科 211,林业,黑龙江,38,114
东北农业大学,Northeast Agricultural University - China,一流学科 211,农业,黑龙江,38,114
上海中医药大学,Shanghai University of Traditional Chinese Medicine,一流学科,医药,上海,38,114
武汉科技大学,Wuhan University of Science and Technology,,理工,湖北,38,114
华南农业大学,South China Agricultural University,,农业,广东,38,118
辽宁大学,Liaoning University,一流学科 211,综合,辽宁,38,118
长沙理工大学,Changsha University of Science and Technology,,理工,湖南,38,120
福建医科大学,Fujian Medical University,,医药,福建,38,120
青岛大学,Qingdao University,,综合,山东,38,120
河北科技大学,Hebei University of Science and Technology,,理工,河北,38,123
重庆医科大学,Chongqing Medical University,,医药,重庆,38,124
河北农业大学,Hebei Agricultural University,,农业,河北,38,124
