univNameCn,univNameEn,univTags,univCategory,province,score,ranking
清华大学,Tsinghua University,一流大学A类 985 211,理工,北京,95.3,1
北京大学,Peking University,一流大学A类 985 211,综合,北京,78.6,2
浙江大学,Zhejiang University,一流大学A类 985 211,综合,浙江,73.9,3
上海交通大学,Shanghai Jiao Tong University,一流大学A类 985 211,综合,上海,73.1,4
复旦大学,Fudan University,一流大学A类 985 211,综合,上海,66.0,5
中国科学技术大学,University of Science and Technology of China,一流大学A类 985 211,理工,安徽,61.9,6
南京大学,Nanjing University,一流大学A类 985 211,综合,江苏,59.8,7
华中科技大学,Huazhong University of Science and Technology,一流大学A类 985 211,理工,湖北,59.1,8
中山大学,Sun Yat-Sen University,一流大学A类 985 211,综合,广东,58.6,9
哈尔滨工业大学,Harbin Institute of Technology,一流大学A类 985 211,理工,黑龙江,57.4,10
同济大学,Tongji University,一流大学A类 985 211,理工,上海,56.4,11
武汉大学,Wuhan University,一流大学A类 985 211,综合,湖北,55.5,12
东南大学,Southeast University,一流大学A类 985 211,综合,江苏,55.3,13
西安交通大学,Xi'an Jiaotong University,一流大学A类 985 211,综合,陕西,54.2,14
北京航空航天大学,Beihang University,一流大学A类 985 211,理工,北京,54.0,15
南开大学,Nankai University,一流大学A类 985 211,综合,天津,53.9,16
四川大学,Sichuan University,一流大学A类 985 211,综合,四川,53.3,17
天津大学,Tianjin University,一流大学A类 985 211,理工,天津,52.4,18
华南理工大学,South China University of Technology,一流大学A类 985 211,理工,广东,51.8,19
北京师范大学,Beijing Normal University,一流大学A类 985 211,师范,北京,51.7,20
北京理工大学,Beijing Institute of Technology,一流大学A类 985 211,理工,北京,51.1,21
厦门大学,Xiamen University,一流大学A类 985 211,综合,福建,50.9,22
吉林大学,Jilin University,一流大学A类 985 211,综合,吉林,50.2,23
山东大学,Shandong University,一流大学A类 985 211,综合,山东,50.0,24
大连理工大学,Dalian University of Technology,一流大学A类 985 211,理工,辽宁,49.7,25
中南大学,Central South University,一流大学A类 985 211,综合,湖南,49.5,26
苏州大学,Soochow University (China),一流学科 211,综合,江苏,48.8,27
对外经济贸易大学,University of International Business and Economics,一流学科 211,财经,北京,47.7,28
西北工业大学,Northwestern Polytechnical University,一流大学A类 985 211,理工,陕西,47.6,29
中国人民大学,Renmin University of China,一流大学A类 985 211,综合,北京,47.5,30
湖南大学,Hunan University,一流大学B类 985 211,综合,湖南,47.4,31
华东师范大学,East China Normal University,一流大学A类 985 211,师范,上海,46.5,32
电子科技大学,University of Electronic Science and Technology of China,一流大学A类 985 211,理工,四川,46.4,33
华东理工大学,East China University of Science and Technology,一流学科 211,理工,上海,45.5,34
重庆大学,Chongqing University,一流大学A类 985 211,综合,重庆,45.2,35
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,一流学科 211,理工,江苏,45.2,35
北京科技大学,University of Science and Technology Beijing,一流学科 211,理工,北京,44.5,37
南京理工大学,Nanjing University of Science and Technology,一流学科 211,理工,江苏,44.5,37
上海财经大学,Shanghai University of Finance and Economics,一流学科 211,财经,上海,44.3,39
中国农业大学,China Agricultural University,一流大学A类 985 211,农业,北京,43.7,40
上海大学,Shanghai University,一流学科 211,综合,上海,43.6,41
东北大学,Northeastern University,一流大学B类 985 211,理工,辽宁,43.5,42
华中师范大学,Central China Normal University,一流学科 211,师范,湖北,43.3,43
南方科技大学,Southern University of Science and Technology,,综合,广东,43.3,43
北京交通大学,Beijing jiaotong University,一流学科 211,理工,北京,43.0,45
首都医科大学,Capital Medical University,,医药,北京,42.9,46
武汉理工大学,Wuhan University of Technology,一流学科 211,理工,湖北,42.8,47
北京化工大学,Beijing University of Chemical Technology,一流学科 211,理工,北京,42.4,48
北京邮电大学,Beijing University of Posts and Telecommunications,一流学科 211,理工,北京,42.4,48
东华大学,Donghua University,一流学科 211,理工,上海,42.4,48
北京外国语大学,Beijing Foreign Studies University,一流学科 211,语言,北京,42.1,51
天津医科大学,Tianjin Medical University,一流学科 211,医药,天津,42.0,52
中央财经大学,Central University of Finance and Economics,一流学科 211,财经,北京,42.0,52
西安电子科技大学,Xidian University,一流学科 211,理工,陕西,41.9,54
南京医科大学,Nanjing Medical University,,医药,江苏,41.7,55
暨南大学,Jinan University,一流学科 211,综合,广东,41.6,56
兰州大学,Lanzhou University,一流大学A类 985 211,综合,甘肃,41.4,57
江南大学,Jiangnan University,一流学科 211,综合,江苏,40.8,58
华北电力大学,North China Electric Power University,一流学科 211,理工,北京,40.5,59
中国海洋大学,Ocean University of China,一流大学A类 985 211,综合,山东,40.3,60
哈尔滨工程大学,Harbin Engineering University,一流学科 211,理工,黑龙江,40.2,61
中国地质大学（武汉）,China University of Geosciences (Wuhan),一流学科 211,理工,湖北,40.2,61
华中农业大学,Huazhong Agricultural University,一流学科 211,农业,湖北,40.1,63
南京师范大学,Nanjing Normal University,一流学科 211,师范,江苏,40.1,63
东北师范大学,Northeast Normal University,一流学科 211,师范,吉林,40.0,65
西南财经大学,Southwestern University of Finance and Economics,一流学科 211,财经,四川,39.9,66
福州大学,Fuzhou University,一流学科 211,理工,福建,39.8,67
中国药科大学,China Pharmaceutical University,一流学科 211,医药,江苏,39.8,67
中国地质大学（北京）,China University of Geosciences (Beijing),一流学科 211,理工,北京,39.7,69
上海外国语大学,Shanghai International Studies University,一流学科 211,语言,上海,39.6,70
南京农业大学,Nanjing Agricultural University,一流学科 211,农业,江苏,39.5,71
北京工业大学,Beijing University of Technology,一流学科 211,理工,北京,39.2,72
河海大学,Hohai University,一流学科 211,理工,江苏,39.2,72
西南交通大学,Southwest Jiaotong University,一流学科 211,理工,四川,39.1,74
中国医科大学,China Medical University (Shenyang),,医药,辽宁,39.1,74
西南大学,Southwest University,一流学科 211,综合,重庆,39.0,76
南方医科大学,Southern Medical University,,医药,广东,38.8,77
中南财经政法大学,Zhongnan University of Economics and Law,一流学科 211,财经,湖北,38.8,77
南京信息工程大学,Nanjing University of Information Science & Technology,一流学科,理工,江苏,38.4,79
江苏大学,Jiangsu University,,综合,江苏,38.3,80
中国石油大学（华东）,China University of Petroleum (Huadong),一流学科 211,理工,山东,38.3,80
合肥工业大学,Hefei University of Technology,一流学科 211,理工,安徽,38.2,82
上海中医药大学,Shanghai University of Traditional Chinese Medicine,一流学科,医药,上海,38.1,83
中国矿业大学,China University of Mining and Technology - Xuzhou,一流学科 211,理工,江苏,38.1,83
