univNameCn,univNameEn,univTags,univCategory,province,score,ranking
清华大学,Tsinghua University,一流大学A类 985 211,理工,北京,94.6,1
北京大学,Peking University,一流大学A类 985 211,综合,北京,76.5,2
浙江大学,Zhejiang University,一流大学A类 985 211,综合,浙江,72.9,3
上海交通大学,Shanghai Jiao Tong University,一流大学A类 985 211,综合,上海,72.1,4
复旦大学,Fudan University,一流大学A类 985 211,综合,上海,65.6,5
中国科学技术大学,University of Science and Technology of China,一流大学A类 985 211,理工,安徽,60.9,6
华中科技大学,Huazhong University of Science and Technology,一流大学A类 985 211,理工,湖北,58.9,7
南京大学,Nanjing University,一流大学A类 985 211,综合,江苏,58.9,7
中山大学,Sun Yat-Sen University,一流大学A类 985 211,综合,广东,58.2,9
哈尔滨工业大学,Harbin Institute of Technology,一流大学A类 985 211,理工,黑龙江,56.7,10
北京航空航天大学,Beihang University,一流大学A类 985 211,理工,北京,56.3,11
武汉大学,Wuhan University,一流大学A类 985 211,综合,湖北,56.2,12
同济大学,Tongji University,一流大学A类 985 211,理工,上海,55.7,13
西安交通大学,Xi'an Jiaotong University,一流大学A类 985 211,综合,陕西,55.0,14
四川大学,Sichuan University,一流大学A类 985 211,综合,四川,54.4,15
北京理工大学,Beijing Institute of Technology,一流大学A类 985 211,理工,北京,54.0,16
东南大学,Southeast University,一流大学A类 985 211,综合,江苏,53.6,17
南开大学,Nankai University,一流大学A类 985 211,综合,天津,52.8,18
天津大学,Tianjin University,一流大学A类 985 211,理工,天津,52.3,19
华南理工大学,South China University of Technology,一流大学A类 985 211,理工,广东,52.0,20
中南大学,Central South University,一流大学A类 985 211,综合,湖南,50.3,21
北京师范大学,Beijing Normal University,一流大学A类 985 211,师范,北京,49.7,22
山东大学,Shandong University,一流大学A类 985 211,综合,山东,49.1,23
厦门大学,Xiamen University,一流大学A类 985 211,综合,福建,49.1,23
吉林大学,Jilin University,一流大学A类 985 211,综合,吉林,48.9,25
大连理工大学,Dalian University of Technology,一流大学A类 985 211,理工,辽宁,48.6,26
电子科技大学,University of Electronic Science and Technology of China,一流大学A类 985 211,理工,四川,48.4,27
湖南大学,Hunan University,一流大学B类 985 211,综合,湖南,48.1,28
苏州大学,Soochow University (China),一流学科 211,综合,江苏,47.3,29
西北工业大学,Northwestern Polytechnical University,一流大学A类 985 211,理工,陕西,46.7,30
中国人民大学,Renmin University of China,一流大学A类 985 211,综合,北京,46.1,31
华东师范大学,East China Normal University,一流大学A类 985 211,师范,上海,46.0,32
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,一流学科 211,理工,江苏,44.8,33
对外经济贸易大学,University of International Business and Economics,一流学科 211,财经,北京,44.7,34
南方科技大学,Southern University of Science and Technology,,综合,广东,44.6,35
华东理工大学,East China University of Science and Technology,一流学科 211,理工,上海,44.5,36
重庆大学,Chongqing University,一流大学A类 985 211,综合,重庆,44.4,37
南京理工大学,Nanjing University of Science and Technology,一流学科 211,理工,江苏,44.3,38
北京科技大学,University of Science and Technology Beijing,一流学科 211,理工,北京,43.9,39
东北大学,Northeastern University,一流大学B类 985 211,理工,辽宁,43.7,40
上海大学,Shanghai University,一流学科 211,综合,上海,43.4,41
北京邮电大学,Beijing University of Posts and Telecommunications,一流学科 211,理工,北京,42.9,42
上海财经大学,Shanghai University of Finance and Economics,一流学科 211,财经,上海,42.9,42
中国农业大学,China Agricultural University,一流大学A类 985 211,农业,北京,42.9,42
武汉理工大学,Wuhan University of Technology,一流学科 211,理工,湖北,42.8,45
北京交通大学,Beijing jiaotong University,一流学科 211,理工,北京,42.6,46
华中师范大学,Central China Normal University,一流学科 211,师范,湖北,42.6,46
西安电子科技大学,Xidian University,一流学科 211,理工,陕西,42.1,48
中央财经大学,Central University of Finance and Economics,一流学科 211,财经,北京,41.8,49
北京化工大学,Beijing University of Chemical Technology,一流学科 211,理工,北京,41.7,50
暨南大学,Jinan University,一流学科 211,综合,广东,41.5,51
东华大学,Donghua University,一流学科 211,理工,上海,41.4,52
兰州大学,Lanzhou University,一流大学A类 985 211,综合,甘肃,41.4,52
中南财经政法大学,Zhongnan University of Economics and Law,一流学科 211,财经,湖北,41.4,52
宁波诺丁汉大学,University of Nottingham Ningbo China,,综合,浙江,40.3,55
哈尔滨工程大学,Harbin Engineering University,一流学科 211,理工,黑龙江,40.1,56
