苹果Apple MacBook Pro 2020款13.3英寸笔记本电脑超薄 轻薄本【原装正品】 灰色 20款 10代i7四核 16G 1TBSSD,17399.00,Apple爱豆专卖店
京品电脑宏碁(Acer)蜂鸟Fun 2020新款 14英寸  17.95mm 宏基笔记本电脑(十代酷睿i5 8G 512GSSD MX350 2G独显)银【秒杀预告：限时直降230元，到手4369元，晒单送单肩手提包】镁合金IPS屏轻薄本，轻至1.19kg，独显WIFI6长续航，72%NTSC色域立即抢购(此商品不参加上述活动),3799.00,宏碁京东自营旗舰店
京品电脑联想ThinkBook 15(06CD)英特尔酷睿i5 15.6英寸轻薄笔记本电脑(十代i5-1035G1 8G 512G傲腾增强型SSD 2G独显)全新英特尔10nmCPU工艺；时尚外观轻薄便携；窄边框高清屏；指纹开机免密码；长待机续航,4399.00,ThinkPad京东自营旗舰店
京品电脑RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 8G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米超高性价比、全金属强化机身、全高清防眩光屏幕、手环疾速解锁更多爆款,3199.00,小米京东自营旗舰店
京品电脑联想ThinkPad E14锐龙版(1TCD)2020新款 轻薄笔记本电脑(7nm 6核R5 16G双通道 512GSSD 双面金属 FHD)全新7nm，可扩充双SSD，黑阀隐私摄像头，12项军标稳定测试，ThinkCool智能散热，哈曼卡顿,3899.00,ThinkPad京东自营旗舰店
京品电脑RedmiBook 16 锐龙版 超轻薄全面屏(6核R5-4500U 16G 512G 100% sRGB高色域)灰 手提 笔记本电脑 小米 红米【全面屏7nm锐龙】全新4500U、金属机身、16.1英寸超大高清屏幕、迷你Type-c充电器、178°超广视角更多爆款,3759.00,小米京东自营旗舰店
联想笔记本V15 15.6英寸轻薄便携商务办公超极本双核大屏游戏娱乐学生家用手提笔记本电脑 定制【i3-1005G1 4G内存 128G固态】 15.6英寸 数字全键盘 2G独显 荣耀灰,2899.00,联想扬天航电授权专卖店
"京品电脑戴尔DELL灵越5000fit 14英寸英特尔酷睿i5轻薄窄边框笔记本电脑(十代i5-10210U 8G 512G MX250 2G 2年整机)银十代酷睿处理器,5MM窄边框,IPS防眩光屏,MX250独显,高性能固态硬盘,Type-C接口,智能温控。查看更多",4399.00,戴尔京东自营官方旗舰店
京品电脑联想ThinkPad E480（5JCD）英特尔酷睿i3 14英寸轻薄笔记本电脑（i3-8130U 4G 256SSD FHD）银超高性价比的商务笔记本；11项军标严苛对照测试，超强扩展，内存双通道最高支持32GB、支持SSD+HDD双硬盘组合,2799.00,ThinkPad京东自营旗舰店
京品电脑惠普（HP）战66 三代AMD版14英寸轻薄笔记本电脑（锐龙7nm 八核R7-4700U 16G 512G 400尼特高色域 一年上门）【9.3-9.25购买战66AMD版评论晒单限量送HP无线耳机（详情咨询客服）】19项军标认证，400尼特高色域屏幕，背光键盘+WIFI6，接口丰富！活动详情,4999.00,惠普京东自营官方旗舰店
京品电脑惠普（HP）战66 三代AMD版14英寸轻薄笔记本电脑（锐龙7nm 六核R5-4500U 16G 512G 400尼特高色域一年上门 ）【9.3-9.25购买战66AMD版评论晒单限量送HP无线耳机（详情咨询客服）】19项军标认证，400尼特高色域屏幕，背光键盘+WIFI6，接口丰富！活动详情,4699.00,惠普京东自营官方旗舰店
联想（Lenovo）IdeaPad14s 2020款 十代英特尔酷睿 14英寸 高性能轻薄笔记本电脑 银色 i3-1005G1/8G/512G鼠标套装全新十代酷睿，酷睿i5版本搭配新一代MX330显卡，游戏更出色，第三代Fn+Q智能散热调节【查看爆品小新Pro13,3466.00,联想京东自营官方旗舰店
华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 16G 512GSSD GTX1650Ti 4G 144Hz)元气蓝,6299.00,华硕京东自营官方旗舰店
京品电脑惠普（HP）战66三代AMD版15.6英寸轻薄笔记本电脑（锐龙7nm 六核R5-4500U 16G 512G 400尼特高色域一年上门）【9.3-9.25购买战66AMD版评论晒单限量送HP无线耳机（详情咨询客服）】19项军标认证，400尼特高色域屏幕，背光键盘+WIFI6，接口丰富！活动详情,4699.00,惠普京东自营官方旗舰店
华硕(ASUS) VivoBook15s 英特尔酷睿i7 新版15.6英寸轻薄笔记本电脑(i7-1065G7 8G 512GSSD MX330 2G独显)银【华硕精选】十代i7+MX330独显+高速512G固态+15.6英寸大屏+长效续航！娱乐办公样样行！手慢拍大腿！精选优品，更多优惠！,5399.00,华硕京东自营官方旗舰店
京品电脑惠普（HP）战66 三代AMD版 14英寸轻薄笔记本电脑（锐龙7nm 六核 R5-4500U 8G 256G 一年上门+意外 2年电池）【9.3-9.25购买战66AMD版评论晒单限量送HP无线耳机（详情咨询客服）】19项军标认证，背光键盘+WIFI6，DDR4-3200内存，接口丰富！活动详情,3899.00,惠普京东自营官方旗舰店
京品电脑宏碁(Acer)蜂鸟Fun 2020新款 14英寸 高性能十代酷睿i7 轻薄宏基笔记本电脑(8G 512GSSD MX350独显 长续航)银【秒杀预告：限时直降230元，到手4369元，晒单送单肩手提包】镁合金IPS屏轻薄本，轻至1.19kg，独显WIFI6长续航，72%NTSC色域立即抢购(此商品不参加上述活动),4699.00,宏碁京东自营旗舰店
"京品电脑宏碁(Acer)墨舞EX215 15.6英寸 轻薄 英特尔酷睿i5 大屏笔记本(i5-10210U 8G 512GSSD 独显 全高清 防蓝光)【满3900减200,成交价3799,晒单送无线鼠标，规则咨询客服】银色CPU升级版推荐：3889抢购中",3799.00,宏碁商用京东自营旗舰店
苹果Apple MacBook Air 2020新款13.3英寸苹果笔记本电脑超薄轻薄本【原装正品】 银色 【2017款】i5/8G/128G 官方标配,5499.00,Apple爱豆专卖店
