【2020款指纹解锁】15.6英寸轻薄IPS窄边框超薄手提金属笔记本电脑办公大学生女生游戏便携超级本 10代5205U 8G内存 256G固态 办公商务办公游戏娱乐轻薄本夏不为利！本店新品爆款现货顺丰急发！产品特点：指纹解锁，微边全面屏，DDR4高频内存，十代处理器，金属外壳，流畅运行LOL，CF网游。查看千元性价比轻薄本,2299.00,iru旗舰店
联想（Lenovo）威6 Pro英特尔酷睿i5-14英寸轻薄笔记本电脑学生商用办公游戏本 2G独显 i5-8265U 16G 512G固态｜精装升级全新十代i5处理器，MX330性能独显；8G-DDR4高频大内存，2年上门服务。嗨9周年庆，领券下单，下单只需4199！,4599.00,联想扬天授权旗舰店
荣耀MagicBook Pro Win10 16.1英寸全面屏轻薄性能笔记本电脑（标压锐龙R5 8G 512G 100%sRGB）冰河银【荣耀猎人游戏本新品上市】限时特惠500元，十代酷睿i7标压处理器+RTX2060，16.1英寸144HZ电竞理想屏，升降式风谷散热【更多新品，立即查看】,4299.00,荣耀京东自营旗舰店
联想拯救者Y7000 2020新品15.6英寸酷睿十代i7吃鸡游戏笔记本电脑1080P高色域设计师本 定制|i5-10200H 8G 256G固态 GTX1650 4G独显,6299.00,联想育新授权专卖店
京品电脑戴尔(DELL)G5 英特尔酷睿i7电竞游戏本笔记本电脑(十代标压i7 16G内存 512G固态硬盘 GTX 1660Ti 6G 144Hz)【9月开学季爆款好价！2020年全新G5-升级16G内存爆款！】全新升级10代处理器，更有144Hz高速刷新游戏屏！9月开学季促销》,7449.00,戴尔京东自营官方旗舰店
RedmiBook 16 超轻薄全面屏(第十代英特尔酷睿i7-1065G7 16G 512G MX350 2G 100% sRGB高色域)灰 手提 笔记本电脑 小米 红米【爆款新品首发】MX350高性能独显、16.1英寸100%sRGB高色域超窄边全面屏、16G大内存、10nm增强版I7处理器、新一代Wi-Fi6无线网卡更多爆款,5299.00,小米京东自营旗舰店
RedmiBook 14 二代 超轻薄全金属(第十代英特尔酷睿i5-1035G1 16G 512G MX350 2G 100%sRGB高色域)银 手提 笔记本电脑 小米 红米【升级为全面屏】全功能Type-C接口、迷你电源适配器、全金属机身、10nm增强版酷睿I5处理器、MX350高性能独显更多爆款,4499.00,小米京东自营旗舰店
RedmiBook 14 二代 超轻薄全金属(第十代英特尔酷睿i5-1035G1 8G 512G MX350 2G)银 手提 笔记本电脑 小米 红米【升级为全面屏】全功能Type-C接口、迷你电源适配器、全金属机身、10nm增强版酷睿I5处理器、MX350高性能独显更多爆款》,3999.00,小米京东自营旗舰店
拍拍【二手9成新】戴尔DELL E7240/E7250 12英寸  二手笔记本时尚轻薄 超薄颜值本 2】E7240 i5 8G 256G固态 银色【放心购】15天免费试用/超长488天保修政策【店长推荐】戴尔（E7240)爆款轻薄本限时秒杀领神券低至1649！！》点击抢购,1729.00,小熊二手商品专营店
华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 8G 512GSSD GTX1650Ti 4G 144Hz)钛空灰,5999.00,华硕京东自营官方旗舰店
京品电脑华硕(ASUS) 飞行堡垒8 英特尔酷睿i7 15.6英寸游戏笔记本电脑(i7-10750H 16G 512GSSD GTX1660Ti 6G 144Hz)英特尔酷睿十代CPU高主频，144Hz电竞屏游戏视觉更流畅，RGB键盘，冰川散热更多优惠，请戳,7599.00,华硕京东自营官方旗舰店
京品电脑机械师T58-V 全面屏游戏本十代i7-10750H/GTX1650/1650Ti独显游戏笔记本电脑 荣耀版1650/8G/512G PCIE高速固态【21号秒杀，抢600元券，到手价低至5799元】GTX1650/1650Ti两种显卡、全面屏、83%屏占比、双风扇四铜管、立体A壳、多彩背光键盘,6399.00,MACHENIKE机械师旗舰店
联想（Lenovo）威6 Pro英特尔酷睿i5-14英寸轻薄笔记本电脑学生商用办公游戏本 2G独显 i5-8265U 8G 512G固态｜热卖升级全新十代i5处理器，MX330性能独显；8G-DDR4高频大内存，2年上门服务。嗨9周年庆，领券下单，下单只需4199！,4199.00,联想扬天授权旗舰店
华硕（ASUS）VivoBook15s超薄笔记本电脑十代酷睿商务办公便携全面屏窄边框独显轻薄本 冰钻银/i5-1035G1/MX330-2G独显 8G内存/512G固态/套餐三【9月21日京东秒杀】到手价4299起，十代处理器（选配），MX330-2G独显（选配），512G固态，窄边框，联系客服享更多好礼,4299.00,华硕智凝专卖店
"超薄本 11.6英寸娱乐本 学生网上课堂电脑 远程办公本 得峰 超级本 轻薄笔记本电脑 女笔记本电脑 新款白色-Intel-J4115 8G内存SSD512G高速固态硬盘满980-200限量券,热卖推荐,历史低价,买贵退差,12期免息,秒杀开抢,享晒单豪礼进店领取限量大额神券",1699.00,得峰旗舰店
华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 16G 512GSSD GTX1650Ti 4G 144Hz)元气蓝,6299.00,华硕京东自营官方旗舰店
京品电脑机械革命（MECHREVO）X3-S 英特尔酷睿i7 8核17.3英寸电竞游戏笔记本电脑(i7-10875H 16G 512G PCIE RTX2060)【9月开学季爆款好价！】新10代八核i7高性能处理器电竞杰作！RTX2060显卡+144Hz高色域电竞大屏！9月开学季促销》,7599.00,机械革命京东自营官方旗舰店
荣耀MagicBook Pro 16.1英寸全面屏轻薄高性能笔记本电脑（标压锐龙5 16G 512G 100%sRGB Win10）银【荣耀猎人游戏本新品上市】限时特惠500元，十代酷睿i7标压处理器+RTX2060，16.1英寸144HZ电竞理想屏，升降式风谷散热【更多新品，立即查看】,4599.00,荣耀京东自营旗舰店
京品电脑联想ThinkPad X395（0YCD）13.3英寸轻薄笔记本电脑（锐龙7 PRO 3700U 8G 512GSSD FHD 指纹识别 高色域）飞行家系列，A4纸大小机身，全高清广视角屏，窄边框设计，100%sRGB色域，标配黑阀安全隐私摄像头，指纹识别,5099.00,ThinkPad京东自营旗舰店
联想（Lenovo）小新Air14 锐龙版 2020全面屏金属超轻薄笔记本电脑 6核12线程 R5-4600U 16G 512G固态 深空灰 高效办公套装全新7nm锐龙，超轻薄金属机身，网课学习办公更畅快，大电池长续航【查看爆品小新Pro13,4666.00,联想京东自营官方旗舰店
京品电脑联想ThinkPad 翼14 Slim（1SCD）英特尔酷睿i7 14英寸轻薄笔记本电脑(i7-10510U 16G 512GSSD 2G独显)银4.9mm超窄边框，A/D面耐用金属材质，16G大内存、固态硬盘超快响应，杜比优质音效，黑酷强劲散热,5899.00,ThinkPad京东自营旗舰店
苹果Apple MacBook Air 2020新款13.3英寸苹果笔记本电脑超薄轻薄本【原装正品】 银色 【2017款】i5/8G/128G 官方标配,5499.00,Apple爱豆专卖店
京品电脑华为(HUAWEI)MateBook X Pro 2020款 13.9英寸超轻薄全面屏笔记本电脑(十代酷睿i7 16G+512G 独显 3K触控)翠9.23华为京东超级品牌日到手仅：9988元3K炫丽可触控全面屏|超轻薄金属机身|十代酷睿强劲性能更多精彩请点击,9999.00,华为京东自营官方旗舰店
联想(Lenovo)拯救者Y7000 英特尔酷睿i5 15.6英寸游戏笔记本电脑(i5-10200H 16G 512G GTX1650Ti 100%sRGB)即刻预约9.27日享6099元，数量有限售完即止【Y7000P新品英特尔酷睿i7搭载144Hz电竞屏新品上新，9.23日0点发售】点击跳转Y7000P新品,6699.00,联想京东自营旗舰店
联想小新Pro13 酷睿十代i5超轻薄笔记本电脑2.5K高色域全面屏人脸识别超极本轻薄办公笔记本电脑 标配 i5-10210U 16G 512G 独显 人脸识别 100%高色域店长推荐款：400nits高亮度|十代酷睿i5|人脸识别|72%NTSC高色域|金属机身|雷电3接口|2G独立显卡年度真香机，点击了解一下,5499.00,联想育新授权专卖店
机械革命(MECHREVO)Z3 Air 英特尔酷睿i5 15.6英寸120Hz 轻薄游戏笔记本电脑(i5-10200H 16G 512G GTX1650)【十代i5新品】十代新i5+16G内存，GTX1650显卡搭配电竞屏！品牌活动专区点击,4999.00,机械革命京东自营官方旗舰店
华为笔记本电脑 MateBook 13 2020 锐龙版 13英寸 R5 4600H 16G+512G 2K全面屏 多屏协同 轻薄本 皓月银9.23华为京东超级品牌日到手仅：4588元华为新品笔记本|2K全面屏|全新锐龙标压处理器|华为分享更多精彩请点击,4599.00,华为京东自营官方旗舰店
联想(Lenovo) Y9000X 拯救者 英特尔酷睿i7 15.6英寸手提超轻薄笔记本电脑游戏本 I7-9750H 16G内存 1TB大固态,7998.00,联想华北授权专卖店
惠普（HP） 暗影精灵5/6代plus电竞游戏本暗夜air笔记本电脑【RTX2060/70可选】新品 点杀【热卖爆款】九代i5/GTX1650-4G 标配版：8G/512G PCIE 纯固态抢400、600神券-惠普超品日【暗影电竞本-GTX1650点杀价低至5699】【暗影精灵6-RTX2060-领券低至8299】从不辜负每位暗夜追求者,6299.00,惠普授权旗舰店
华为(HUAWEI)MateBook 13 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i5 16G 512G MX250 触控屏 多屏协同)银9.23华为京东超级品牌日到手仅：5988元13英寸高清触控屏，十代英特尔酷睿处理器，更有16G大内存，可远程协同办公为您带来劲酷体验！更多精彩请点击,6199.00,华为京东自营官方旗舰店
华硕（ASUS）VivoBook15十代酷睿 2020新品 15.6英寸全面屏轻薄本笔记本电脑 银色 i7-1065G7 8G 512G固态 MX330华硕（ASUS）VivoBook15十代酷睿 2020新品 15.6英寸全面屏轻薄本笔记本电脑 银色 i7-1065G7 8G 512G固态 MX330,5799.00,华硕电脑京东自营官方旗舰店
京品电脑宏碁 传奇 14英寸 7nm六核处理器 轻薄本 全功能Type-C 金属机身 笔记本电脑(R5-4500U 7纳米 16G 512GSSD )【学生用机@商务办公优选】全新7nm锐龙，标配背光键盘+WIFI6，接口丰富，指纹识别，11小时长续航点击直达链接,3799.00,宏碁京东自营旗舰店
京品电脑联想(Lenovo)  Y9000X英特尔酷睿i7 15.6英寸高性能标压轻薄笔记本电脑(i7-9750H 16G 1TSSD FHD)深空灰9代标压I7，14.9mm超薄金属机身，72%NTSC，HDR影像显示，300nits超高亮度，更多专业配置，为创造者而生！更多好物,7499.00,联想京东自营旗舰店
苹果Apple MacBook Pro 2020款13.3英寸笔记本电脑超薄 轻薄本【原装正品】 灰色 20款 10代i7四核 16G 1TBSSD,17399.00,Apple爱豆专卖店
联想(Lenovo)威6 2020款 英特尔酷睿 i5 14英寸窄边框轻薄笔记本电脑(i5-1035G1 8G 512G 2G独显 )相思灰联想扬天周一秒杀日，惠钜来袭，爆款直降。评价晒单返E卡，欢迎抢购。更多优惠点击,4099.00,联想扬天京东自营旗舰店
"京品电脑戴尔DELL灵越5000 fit 14英寸英特尔酷睿i7轻薄笔记本电脑(十代i7-10510U 8G 512G MX250 2G 2年整机上门)银十代酷睿处理器,5MM窄边框,IPS防眩光屏,MX250独显,高性能固态硬盘,Type-C接口,智能温控。查看更多",5299.00,戴尔京东自营官方旗舰店
"联想(Lenovo)小新Pro13 2020锐龙版轻薄本 全面屏办公笔记本电脑(8核R7-4800U 16G 512G 高色域)深空灰【爆款#高颜值硬实力】学生网课办公娱乐,全新7nm八核芯满血释放，低蓝光2.5K屏,暂时缺货查看“同胞兄弟”独显版，显卡更强（查看性能版）(此商品不参加上述活动)",5599.00,联想京东自营旗舰店
"联想(Lenovo)小新Air14高性能轻薄本 英特尔酷睿i7 全金属独显笔记本电脑(i7 16G 512G MX350 高色域) 银【爆款#全金属高性能】学生网课办公娱乐,'芯'十代更强劲，游戏显卡基因，100%sRGB高色域，智能散热调节,指纹背光,接口丰富PD快充(更多尖货)",6299.00,联想京东自营旗舰店
联想ThinkPad E14 14英寸 轻薄商务办公手提学生游戏笔记本电脑 酷睿i3-10110U 【标配银】8G内存 256G固态 39CD【超值新品】十代i3丨65W大功率快充丨银色+黑色丨超轻薄丨正版Win10丨正版Office丨E14锐龙版,3299.00,ThinkPad广东授权专卖店
华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 16G 512GSSD GTX1650Ti 4G 144Hz)元气蓝,6299.00,华硕京东自营官方旗舰店
京品电脑华为(HUAWEI)MateBook X Pro 2020款 13.9英寸超轻薄全面屏笔记本电脑(十代酷睿i7 16G+512G 独显 3K触控)灰9.23华为京东超级品牌日到手仅：9988元3K炫丽可触控全面屏|超轻薄金属机身|十代酷睿强劲性能更多精彩请点击,9999.00,华为京东自营官方旗舰店
联想IdeaPad14s锐龙版2020款R5笔记本电脑超薄本14英寸轻薄女生学生商务办公游戏超级本 定制｜R5-4600U 8G内存 512G固态 荣耀银【全新7纳米丨6核12线程R5-4600U处理器】【性能不输i5】【双通道内存】【PCIE疾速固态硬盘】【新品上市丨稀缺货源丨抢购中】,3949.00,联想率秀图新授权专卖店
联想ThinkPad T14s AMD锐龙版 14英寸商务轻薄便携手提笔记本电脑 R7-4750U 16G 512G固态 08CD联想ThinkPad T14s AMD锐龙版 14英寸商务轻薄便携手提笔记本电脑 R7-4750U 16G 512G固态 08CD,6999.00,ThinkPad京东官方自营旗舰店
"华为笔记本电脑MateBook D 14 15 全面屏超轻薄商务办公手提学生本 D15银｜R5-3500U 16G+256G+1T【降】分期免息，全新7nm处理器，限时直降【礼】下单赠大礼包,晒单领扩展坞【抢】收藏关注领移动电源，享优先发货查询更多福利点击",4488.00,华为新通路专卖店
拍拍【二手9成新】联想/Lenovo/笔记本电脑轻薄学习办公商务游戏 I3/I5/I7处理器  i5处理器 8G 120G固态 独显 联盟CF 笔记本先领券，后下单！全店商品【满800减30】【满1000减50】【满2000减80】点击查看详情,1488.80,轩淋风二手电脑整机专营店
苹果Apple MacBook Air 2020新款13.3英寸苹果笔记本电脑超薄轻薄本【原装正品】 银色 【2017款】i5/8G/128G 官方标配,5499.00,Apple爱豆专卖店
华硕 (ASUS) VivoBook15s无线套装 英特尔酷睿i5 新版15.6英寸轻薄笔记本电脑 银色+UX300无线鼠标套装 i5-1035G1 8G 512固态 MX330【9.21华硕品牌秒杀】飞8十代i7-16G点杀低至7799！VivoBook15s点杀低至4299！灵耀14十代i7低至6599！晒单有礼，咨询客服有礼。,4459.00,华硕电脑官方旗舰店
戴尔(DELL)新品游匣G5 15.6英寸酷睿十代标压72%色域固态电竞游戏笔记本电脑【6期免息】 1866十代i7 16G 2060 144hz 官方标配【新G5超玩本】十代标压处理器为你撑腰！可选RGB底盘氛围灯带，可选144Hz/300Hz神速屏，双风翼散热架构炸裂每个战场！首发6期免息！晒单赠双肩背包！,7999.00,戴尔官方旗舰店
宏碁(Acer)新蜂鸟3 移动超能版 3:2生产力 新MX350 2020款全面屏轻薄高性能笔记本电脑(i5/8G/512G/Win10)银【秒杀预告：限时直降230元，到手4369元，晒单送单肩手提包】镁合金IPS屏轻薄本，轻至1.19kg，独显WIFI6长续航，72%NTSC色域立即抢购(此商品不参加上述活动),4499.00,宏碁京东自营旗舰店
神舟战神K670/K680E/ZX6/TX6 GTX1050/1650Ti独显游戏本笔记本手提电脑 K670D-G4E7/G5420/256/3G独显【20号神舟超品日抢600神券，到手价低至4699元】GTX1650-4G独显、全面屏窄边框、85%屏占比、双风扇四铜管、144Hz电竞屏16G内存512G固态,3399.00,神舟游戏本专卖店
三星（SAMSUNG）15.6英寸Galaxy Book Flex 2020款触屏超轻薄二合一笔记本电脑(十代i7/16G/1T SSD)蓝【9月21日秒杀价13989元，赠背包+台灯，赠完即止！晒单返100元E卡】点击咨询客服有礼！,13989.00,三星笔记本京东自营官方旗舰店
联想(Lenovo) Y9000X 拯救者 英特尔酷睿i7 15.6英寸手提超轻薄笔记本电脑游戏本 I7-9750H 16G内存 1TB大固态,7998.00,联想华北授权专卖店
"联想小新15 2020锐龙高性能版15.6英寸全面屏轻薄笔记本电脑手提商务办公本游戏本带数字小键盘 6核R5-4600U 8G 512G固态 标配新锐龙R5六核速度快功耗小新一代处理器，15.6英寸窄边框全面屏，学生网课办公娱乐,数字小键盘19日-21日平台补贴，领大额神券",4499.00,联想西南授权专卖店
华为笔记本新款MateBook D 2020锐龙版 7nm D14/D15可选 超薄本商务办公超极本 D15/六核R5-4500U/16G/512G银色 官方标配含赠品礼包华为MateBook-2020款锐龙7nm新品发售，下单六期免息，送原装鼠标/双肩包/耳机等豪华礼包，点击领取限时优惠券下单更便宜详情请点击查看,4288.00,华为比特专卖店
华为笔记本MateBook D 14 15超薄全面屏锐龙版轻薄本超极本学生商务办公笔记本电脑 银｜D14 R5 16+512G集显 14.0英寸【金秋风暴】尊享3期免息！看直播抢福利【特惠助力】购机送蓝牙鼠标！咨询客服有好礼【京东配送】晒单送时尚双肩包！猛戳抢购！,4299.00,华为兴汇聚专卖店
联想笔记本 ideapad 15S 2020 全新十代酷睿i3超薄商务办公学生网课手提轻薄笔记本电脑 标配：I3-1005G1 8GB 512G固态19日0点抢300元优惠券；到手价3199元！错过必悔！【十代酷睿，北，上，广，武汉，成都、沈阳可隔日达保障时效】可扩展双硬盘，商务办公，网课学习，电商直播；,3599.00,联想华北授权专卖店
惠普（hp）官方旗舰店 星14进阶版 十代酷睿 星13系列轻薄超薄商用手提学生女游戏笔记本电脑超极本 静谧银：【背光键盘版-十代2020新款】 爆款版：i...【抢600神券-惠普超品日】疯狂24小时-银色低至4599丨爆款版低至4999【金属本+白色背光键盘+进阶版】【新十代进阶+窄边框丨棱角分明】颜值进化论,5599.00,惠普授权旗舰店
苹果Apple MacBook Pro 2020款13.3英寸笔记本电脑超薄 轻薄本【原装正品】 灰色 20款 10代i7四核 16G 1TBSSD,17399.00,Apple爱豆专卖店
华硕(ASUS)  灵耀14 十代酷睿 13.5mm超轻薄14英寸商务办公笔记本电脑100%sRGB 十代i5 8G 512G  轻约1.1kg 松木青【9.21华硕品牌秒杀】飞8十代i7-16G点杀低至7799！VivoBook15s点杀低至4299！灵耀14十代i7低至6599！晒单有礼，咨询客服有礼。,5499.00,华硕电脑官方旗舰店
华为笔记本MateBook 13 2020新款13英寸超薄本全面屏轻薄商务办公学生笔记本电脑超极本 R5-3500U/16G/512G/灰色华为MateBook-2020款锐龙7nm新品发售，下单六期免息，送原装鼠标/双肩包/耳机等豪华礼包，点击领取限时优惠券下单更便宜详情请点击查看,4688.00,华为比特专卖店
华为(HUAWEI) MateBook X Pro 2020新款 13.9英寸 超轻薄 全面屏 华为笔记本 (十代i7 16G 1T SSD 独显 3K触控) 翡冷翠 笔记本电脑9.23华为京东超级品牌日到手仅：12988元3K炫丽可触控全面屏|超轻薄金属机身|十代酷睿强劲性能更多精彩请点击,12999.00,华为京东自营官方旗舰店
联想ThinkPad E14 十代英特尔酷睿i3/i5/i7 14英寸商务办公轻薄笔记本电脑 十代i3 8G 256GSSD 核显 09CD【开学换新嗨购进行中价保7天，晒单评价赠送有线鼠标】采用十代酷睿处理器，4.9mm窄边框，轻至1.77kg，双硬盘位。E14-AMD新品上线，点击查看！,3598.00,ThinkPad京东官方自营旗舰店
15.6英寸轻薄酷睿笔记本电脑游戏学生全面屏 超级本  直播上网本办公商务本手提电脑笔记本免息 银灰色-5005U 旗舰PRO版-3867U【8G运行+256G固态】酷睿处理器，双硬盘，高性能512G固态，6期免息，进店领取大额神券【现货速发，购买咨询服务，好礼，送完即止】性价比游戏本,2188.00,格莱富电脑旗舰店
联想笔记本V15 15.6英寸轻薄便携商务办公超极本双核大屏游戏娱乐学生家用手提笔记本电脑 定制【i3-1005G1 4G内存 128G固态】 15.6英寸 数字全键盘 2G独显 荣耀灰,2899.00,联想扬天航电授权专卖店
戴尔（DELL）轻薄本成就5590/5490窄边框2020酷睿十代i5商务办公学生特惠笔记本电脑 8G内存 512G固态PCIe 标配 15.6英寸MX250/2G银色I5-10210U下单送电脑包，鼠标，鼠标垫，32G优盘,4899.00,戴尔康特专卖店
联想（Lenovo）拯救者原装电脑包双肩包X2常规版 机甲风炫彩旅行包背包书包机甲风包型，防挤压，挺阔有型独特幻彩反光条，夜晚出行更安全，防水防盗抗冲击(更多尖货),299.00,联想京东自营旗舰店
京品电脑联想ThinkBook 14(28CD)英特尔酷睿i7 14英寸轻薄笔记本电脑(十代i7-1065G7 8G 512G傲腾增强型SSD 2G独显)【ThinkPad新锐时尚品牌】全新十代10nm工艺CPU；外观时尚轻薄便携；运行流畅长待机续航；窄边框高清屏；指纹开机免密登录；工作生活一机兼顾。,5499.00,ThinkPad京东自营旗舰店
荣耀笔记本电脑MagicBook 15 15.6英寸全面屏轻薄本 (锐龙R5 16G 512G 多屏协同 指纹识别 Win10）银【荣耀猎人游戏本新品上市】限时特惠500元，十代酷睿i7标压处理器+RTX2060，16.1英寸144HZ电竞理想屏，升降式风谷散热【更多新品，立即查看】,4199.00,荣耀京东自营旗舰店
惠普(HP)暗影精灵5 15.6英寸电竞屏游戏笔记本电脑(i5-9300H 8G 512GSSD GTX1650 4G独显 144Hz)9代酷睿，搭载GTX16系显卡，4.99mm微边框，80%屏占比宽广视野，畅享游戏世界,6099.00,惠普京东自营官方旗舰店
新品华为笔记本MateBook 13轻薄本商务手提笔记本电脑13英寸2020款 皓月银 i5 10210U 16G 512G触摸屏【嗨购9月-新品上市】轻薄本2K便携本，购机送内胆包+无线鼠标礼包，爆款7nm六核心R5标压-16-512，限时抢购,5999.00,华为兰焜专卖店
【王源代言】联想ThinkBook 15商务办公15.6英寸女生轻薄游戏本ThinkPad笔记本电脑 十代i7 16G内存 1TB全固态@3QCD定制 FHD高清屏 2G独显 背光键盘 指纹Win10全新正品+IPS全高清屏+背光键盘+指纹开机+独立显卡【可选择14英寸ThinkBook14】,6999.00,ThinkPad福建授权专卖店
华为荣耀笔记本电脑MagicBook Pro 第三方Linux版 16.1英寸超薄学生商务办公超极本 银色-锐龙R5/8G/512G集显2019款 官方标配【Linux系统】【下单抽万元豪礼】，京东配送·下单速发，下单即送多重好礼~荣耀平板5特惠直降中·点击抢购【白条6期免息】,3869.00,科族数码专营店
戴尔DELL灵越5000 14.0英寸高性能轻薄笔记本电脑(十代i5-1035G1 16G 512GSSD MX330 2G独显)幻绿搭载十代酷睿处理器，MX330独显，性能升级；可选32G双通路大内存，72%NTSC高色域。查看更多,5199.00,戴尔京东自营官方旗舰店
"京品电脑宏碁 (Acer) 墨舞EX215 15.6英寸轻薄大屏笔记本(四核N4120 4G 1T 蓝光护盾 网课 办公 Win10)【开学换新,晒单送鼠标,规则咨询客服】防蓝光，180°开合,15.6英寸轻薄大屏，更多优惠请戳",2399.00,宏碁商用京东自营旗舰店
"惠普（HP） Pavilion14 十代酷睿 2020新品14英寸超薄笔记本 学生青春轻薄时尚电脑 i5-1035G1 14.0""银 预装office 8G 512G PCIE 2G【办公推荐】【9月20日0:00开抢--超级点杀】抢300、600劵--惠普超品日【十代酷睿新品独显版低至4099】2020年新品丨Pavilion14+学生办公时尚青春本",4499.00,惠普授权旗舰店
2020新款华为笔记本MateBook 13轻薄本超极本2K触控全面屏商务办公学生手提超薄笔记本电脑 银|锐龙R5-4600H 16G+512G非触屏2020新款华为笔记本MateBook 13轻薄本超极本2K触控全面屏商务办公学生手提超薄笔记本电脑 银|锐龙R5-4600H 16G+512G非触屏,4699.00,华为康特专卖店
华为笔记本电脑MateBook D 14 14英寸全面屏轻薄本锐龙手提超薄本超级本 2020款 银｜R7-4700U+16G+512G 标配【预装正版办公软件】【新品促销】白条3期免息+R5六核处理器【购机即送】送雷柏蓝牙鼠标+双肩包等【咨询优惠】R5+16G+512G版本低至4XX9元,4799.00,华为千百回专卖店
华为笔记本MateBook D 14 15 全面屏轻薄本AMD锐龙版商务办公学生手提笔记本电脑超极本 D15银六核R5-4500U 16G+512G新品【性价比之选】护眼全面屏；全新7nm锐龙处理器；华为分享新体验；爆款热卖中！,4499.00,华为航智专卖店
机械师T58-V 全面屏游戏本十代i5-10300H/GTX1650 4G独显轻薄吃鸡游戏笔记本电脑 荣耀版8G/512G PCIE高速固态【100元定金抵400元，到手价低至5299元】GTX1650-4G独显、全面屏、83%屏占比、A+无亮点屏、双风扇四铜管、一键强冷、多彩背光键盘,5599.00,MACHENIKE机械师旗舰店
联想(Lenovo)扬天V340 2020款15.6英寸新十代酷睿i7学生轻薄商务办公手提笔记本电脑 定制i7-10510U 24G 512G+2T 2G独显 全高清屏 星空灰下单立减600元，再送联想原装鼠标，英特尔新十代酷睿i7，指纹识别开机键二合一，预装正版office杜绝盗版死机，全国联保两年，足不出户，高忱无忧！,8599.00,联想扬天京东自营授权旗舰店
"惠普（HP） Pavilion14 十代酷睿 2020新品14英寸超薄笔记本 学生青春轻薄时尚电脑 i5-1035G1 14.0""银 预装office 8G 512G PCIE【学生精选】【9月20日0:00开抢--超级点杀】抢300、600劵--惠普超品日【十代酷睿新品独显版低至4099】2020年新品丨Pavilion14+学生办公时尚青春本",4199.00,惠普授权旗舰店
联想ThinkPad P1隐士(0DCD)英特尔酷睿i7 15.6英寸轻薄图站笔记本(i7-9750H 16G 1TSSD T1000 4G独显 3年保)标压处理器，100%色域，ISV认证，专业图形显卡，支持135W电源1小时80%快充，WIFI6，支持雷电3及高速网口，赠送一年意外及数据拯救服务,15499.00,ThinkPad京东自营旗舰店
华为笔记本电脑MateBook 14 2020款 轻薄本手提全面屏商务办公超极本 灰｜十代i7 16G 512G MX350 触屏版 标配【预装正版Office】【新品上市】白条免息~晒单送定制扩展坞【购机即送】雷柏原装蓝牙鼠标+双肩包等【新品推荐】AMD标压处理器低至5X99元猛戳抢购,7799.00,华为千百回专卖店
RedmiBook 14 锐龙版 全金属超轻薄(R7 8G 512G PCIe 全高清)银 手提 笔记本电脑 小米 红米满血版R7锐龙处理器、PCIe大容量高速固态、全高清防眩光窄边框、强劲散热系统点击抢购红米爆款机型,3999.00,小米京东自营旗舰店
联想ThinkPad T490(0SCD)英特尔酷睿i5 14英寸轻薄笔记本电脑(i5-8265U 8G 512GSSD 2G独显 FHD防眩光屏)内存可扩展，预装Windows及Office软件，支持65W电源1小时80%快充，摄像头物理开关，支持雷电3及高速网口，赠送一年意外及数据拯救服务,7499.00,ThinkPad京东自营旗舰店
【2020款】联想拯救者y7000 英特尔十代酷睿i5电竞游戏本p 100%高色域设计笔记本电脑 i5-10200H 16G内存 512G固态 GTX1650 4G独显 精装升级版 黑色【精选爆款游戏本】十代标压酷睿i5强芯、GTX1650高能独立显卡、全新TSI霜刃散热、Fn+Q游戏野兽模式随心切换6到飞起，办公设计游戏全能型抢神券600元,7199.00,联想德信专卖店
"联想小新15 2020锐龙高性能版15.6英寸全面屏轻薄笔记本电脑手提商务办公本游戏本带数字小键盘 6核R5-4600U 8G 512G固态 标配新锐龙R5六核速度快功耗小新一代处理器，15.6英寸窄边框全面屏，学生网课办公娱乐,数字小键盘19日-21日平台补贴，领大额神券",4499.00,联想西南授权专卖店
华为荣耀笔记本电脑MagicBook Pro 16.1英寸轻薄本手提商务办公超极本 银|R7-3750H 8G 512G L版 标配【咨询享优惠】白条3期免息~晒单送网口扩展坞【购机即送】雷柏原装蓝牙鼠标+荣耀双肩包等【新品推荐】锐龙R5-4000标压系列低至4X99元,4299.00,千百回电脑专营店
联想 ThinkPad  E490（23CD）笔记本电脑14英寸FHD高清商务办公超薄2G独显 升级版：I5-8265U 8G 256G+1T【店长推荐】E14新品爆款，7纳米高速处理器，金属面板，点击抢购！,4589.00,ThinkPad东南授权专卖店
华硕（ASUS）笔记本电脑Y4200顽石6代轻薄本学生上网学习本轻薄便携商务办公手提电脑 荣耀银i5-8265U/MX110-2G独显 8G内存+500G+256G固态【店长推荐】【领300元大额优惠券，到手价低至3599起】14英寸酷睿轻薄本，2G独显，下单送包鼠垫三件套！咨询客服了解更多优惠券！,4099.00,茂双笔记本旗舰店
京品电脑RedmiBook 14英寸全金属超轻薄(英特尔酷睿i3处理器 4G 256G SSD Office 支持手环疾速解锁 Win10)游戏 银 手提 笔记本电脑 小米 红米全金属强化机身、全高清防眩光屏幕、手环疾速解锁、超长续航更多爆款,2999.00,小米京东自营旗舰店
